National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-10T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec  5,Dec  6,Dec  7,Dec  8,Dec  9,,
Volume ('000s),,
Industrials,"1,004,836","855,805","1,038,635","1,708,409","1,080,985",,
Mining,"1,120,589","918,474","920,379","894,493","964,040",,
TOTAL,"2,125,425","1,774,279","1,959,014","2,602,902","2,045,025",,
Value ($'000s),,
Industrials,"3,032,716","2,906,246","2,458,794","2,889,551","2,694,065",,
Mining,"1,523,145","1,436,394","1,322,207","1,522,068","1,598,452",,
TOTAL,"4,555,861","4,342,640","3,781,001","4,411,619","4,292,517",,
MOVEMENTS:,,
Industrials,,
Up,310,172,302,220,132,,
Down,222,337,203,285,369,,
Steady,160,182,190,158,163,,
TOTAL,692,691,695,663,664,,
Mining,,
Up,272,177,259,216,164,,
Down,253,337,247,295,333,,
Steady,218,223,214,217,217,,
TOTAL,743,737,720,728,714,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"517,159","300,530","245,857","260,379","248,282",,
Put Options,"235,392","242,144","188,264","212,065","231,712",,
TOTAL,"752,551","542,674","434,121","472,444","479,994",,
Value ($'000s),,
Call Options,"25,302","14,371","23,724","10,015","10,856",,
Put Options,"7,926","13,287","13,022","9,924","12,762",,
TOTAL,"33,228","27,658","36,746","19,939","23,618",,
MOVEMENTS:,,
Call Options,,
Up,694,238,333,220,79,,
Down,92,388,251,320,477,,
Steady,22,26,41,25,13,,
TOTAL,808,652,625,565,569,,
Put Options,,
Up,25,245,148,247,490,,
Down,549,335,350,244,140,,
Steady,6,19,15,26,14,,
TOTAL,580,599,513,517,644,,
,
