National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-31T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 26,May 27,May 28,May 29,May 30,,
Volume ('000s),,
Industrials,"571,511","650,483","681,412","659,829","1,167,940",,
Mining,"737,743","752,767","782,750","588,451","825,176",,
TOTAL,"1,309,254","1,403,250","1,464,162","1,248,280","1,993,116",,
Value ($'000s),,
Industrials,"2,010,228","2,253,818","2,495,217","2,342,732","5,701,858",,
Mining,"573,335","589,268","805,339","774,080","1,567,975",,
TOTAL,"2,583,563","2,843,086","3,300,556","3,116,812","7,269,833",,
MOVEMENTS:,,
Industrials,,
Up,373,291,369,290,287,,
Down,220,290,249,317,312,,
Steady,185,200,158,190,187,,
TOTAL,778,781,776,797,786,,
Mining,,
Up,190,162,172,173,200,,
Down,202,197,203,189,211,,
Steady,226,247,260,226,222,,
TOTAL,618,606,635,588,633,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"207,413","254,992","432,391","714,148","220,337",,
Put Options,"157,917","194,630","283,563","417,103","225,442",,
TOTAL,"365,330","449,622","715,954","1,131,251","445,779",,
Value ($'000s),,
Call Options,"16,574","24,259","40,115","343,112","9,613",,
Put Options,"8,233","11,250","18,778","33,669","8,808",,
TOTAL,"24,807","35,509","58,893","376,781","18,421",,
MOVEMENTS:,,
Call Options,,
Up,258,265,370,314,90,,
Down,187,218,220,439,374,,
Steady,25,27,23,35,28,,
TOTAL,470,510,613,788,492,,
Put Options,,
Up,80,83,96,241,236,,
Down,320,368,473,400,240,,
Steady,8,15,14,23,31,,
TOTAL,408,466,583,664,507,,
,
