National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-07-28T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,,
Volume ('000s),,
Industrials,"550,109","712,123","593,159","692,709","714,649",,
Mining,"830,863","913,069","631,687","680,542","745,619",,
TOTAL,"1,380,972","1,625,192","1,224,846","1,373,251","1,460,268",,
Value ($'000s),,
Industrials,"2,157,155","1,967,128","2,186,622","2,377,073","3,425,202",,
Mining,"1,111,660","1,200,652","1,258,585","1,449,455","1,817,375",,
TOTAL,"3,268,815","3,167,780","3,445,207","3,826,528","5,242,577",,
MOVEMENTS:,,
Industrials,,
Up,153,188,175,290,368,,
Down,356,297,297,195,137,,
Steady,152,173,172,159,148,,
TOTAL,661,658,644,644,653,,
Mining,,
Up,105,160,168,207,291,,
Down,341,302,292,228,167,,
Steady,201,212,196,195,179,,
TOTAL,647,674,656,630,637,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"280,756","408,569","444,633","858,386","432,178",,
Put Options,"349,998","335,284","369,724","503,933","238,175",,
TOTAL,"630,754","743,853","814,357","1,362,319","670,353",,
Value ($'000s),,
Call Options,"62,332","28,065","249,244","145,574","16,925",,
Put Options,"29,337","34,623","34,722","49,496","11,889",,
TOTAL,"91,669","62,688","283,966","195,070","28,814",,
MOVEMENTS:,,
Call Options,,
Up,116,211,212,477,531,,
Down,506,414,440,297,169,,
Steady,11,33,23,33,26,,
TOTAL,633,658,675,807,726,,
Put Options,,
Up,524,346,436,277,50,,
Down,147,246,265,488,514,,
Steady,8,34,16,13,14,,
TOTAL,679,626,717,778,578,,
,
