National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-21T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,,
Volume ('000s),,
Industrials,"762,523","734,103","1,126,183","945,056","959,574",,
Mining,"784,654","650,922","732,621","570,430","548,590",,
TOTAL,"1,547,177","1,385,025","1,858,804","1,515,486","1,508,164",,
Value ($'000s),,
Industrials,"3,103,102","4,232,132","5,022,296","4,240,925","3,567,295",,
Mining,"827,941","759,922","907,411","795,089","674,607",,
TOTAL,"3,931,043","4,992,054","5,929,707","5,036,014","4,241,902",,
MOVEMENTS:,,
Industrials,,
Up,408,291,438,363,314,,
Down,266,358,256,325,375,,
Steady,168,184,160,173,151,,
TOTAL,842,833,854,861,840,,
Mining,,
Up,202,152,177,162,162,,
Down,164,178,184,166,195,,
Steady,195,192,190,204,191,,
TOTAL,561,522,551,532,548,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"259,847","320,712","258,006","279,841","178,201",,
Put Options,"144,651","188,061","190,162","147,323","160,262",,
TOTAL,"404,498","508,773","448,168","427,164","338,463",,
Value ($'000s),,
Call Options,"51,094","71,024","38,325","21,695","17,457",,
Put Options,"12,450","11,147","7,768","8,790","11,461",,
TOTAL,"63,544","82,171","46,093","30,485","28,918",,
MOVEMENTS:,,
Call Options,,
Up,451,325,480,322,201,,
Down,132,263,161,194,245,,
Steady,14,23,20,8,7,,
TOTAL,597,611,661,524,453,,
Put Options,,
Up,77,135,69,68,157,,
Down,367,370,361,275,222,,
Steady,19,24,18,23,27,,
TOTAL,463,529,448,366,406,,
,
