National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-04-05T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 31,Apr  1,Apr  2,Apr  3,Apr  4,,
Volume ('000s),,
Industrials,"738,779","779,128","733,237","663,881","688,914",,
Mining,"843,318","788,830","701,469","700,758","745,005",,
TOTAL,"1,582,097","1,567,958","1,434,706","1,364,639","1,433,919",,
Value ($'000s),,
Industrials,"3,061,980","2,788,531","2,830,723","2,781,657","2,743,473",,
Mining,"834,883","1,051,339","881,141","754,998","623,401",,
TOTAL,"3,896,863","3,839,870","3,711,864","3,536,655","3,366,874",,
MOVEMENTS:,,
Industrials,,
Up,356,228,306,324,314,,
Down,252,369,280,262,269,,
Steady,161,168,170,172,184,,
TOTAL,769,765,756,758,767,,
Mining,,
Up,218,136,199,183,196,,
Down,191,235,179,202,182,,
Steady,213,230,219,233,219,,
TOTAL,622,601,597,618,597,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"240,405","251,402","233,670","169,457","161,344",,
Put Options,"170,314","176,128","186,909","172,354","96,112",,
TOTAL,"410,719","427,530","420,579","341,811","257,456",,
Value ($'000s),,
Call Options,"90,372","9,837","157,481","78,980","129,991",,
Put Options,"8,948","5,582","6,656","7,206","4,505",,
TOTAL,"99,320","15,419","164,137","86,186","134,496",,
MOVEMENTS:,,
Call Options,,
Up,426,188,268,183,187,,
Down,159,295,203,219,232,,
Steady,16,18,25,30,32,,
TOTAL,601,501,496,432,451,,
Put Options,,
Up,35,184,61,58,65,,
Down,397,251,304,338,267,,
Steady,6,15,17,19,18,,
TOTAL,438,450,382,415,350,,
,
