National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-12-06T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec  1,Dec  2,Dec  3,Dec  4,Dec  5,,
Volume ('000s),,
Industrials,"717,984","700,651","769,040","807,517","662,841",,
Mining,"956,338","813,655","640,715","652,242","747,466",,
TOTAL,"1,674,322","1,514,306","1,409,755","1,459,759","1,410,307",,
Value ($'000s),,
Industrials,"2,999,269","3,544,591","3,311,412","3,280,157","3,111,386",,
Mining,"1,404,706","1,234,657","976,827","995,363","982,375",,
TOTAL,"4,403,975","4,779,248","4,288,239","4,275,520","4,093,761",,
MOVEMENTS:,,
Industrials,,
Up,181,343,418,363,280,,
Down,514,281,224,266,314,,
Steady,148,190,158,167,206,,
TOTAL,843,814,800,796,800,,
Mining,,
Up,66,179,151,179,146,,
Down,332,190,193,168,204,,
Steady,178,195,189,174,193,,
TOTAL,576,564,533,521,543,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"242,054","243,513","260,830","227,479","142,470",,
Put Options,"364,553","312,934","217,695","226,564","262,666",,
TOTAL,"606,607","556,447","478,525","454,043","405,136",,
Value ($'000s),,
Call Options,"15,217","18,226","22,165","22,717","11,896",,
Put Options,"37,290","29,991","14,969","20,960","16,468",,
TOTAL,"52,507","48,217","37,134","43,677","28,364",,
MOVEMENTS:,,
Call Options,,
Up,45,235,277,385,176,,
Down,446,306,225,170,255,,
Steady,11,21,24,14,16,,
TOTAL,502,562,526,569,447,,
Put Options,,
Up,601,254,129,81,252,,
Down,82,260,301,343,190,,
Steady,12,15,10,7,14,,
TOTAL,695,529,440,431,456,,
,
