National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-04-12T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr  7,Apr  8,Apr  9,Apr 10,Apr 11,,
Volume ('000s),,
Industrials,"596,640","618,293","961,239","750,915","761,308",,
Mining,"785,487","693,999","696,545","722,688","812,850",,
TOTAL,"1,382,127","1,312,292","1,657,784","1,473,603","1,574,158",,
Value ($'000s),,
Industrials,"2,077,346","2,436,703","3,505,486","3,060,745","2,976,654",,
Mining,"538,318","730,012","1,121,551","950,262","803,942",,
TOTAL,"2,615,664","3,166,715","4,627,037","4,011,007","3,780,596",,
MOVEMENTS:,,
Industrials,,
Up,223,203,380,379,158,,
Down,360,378,225,223,452,,
Steady,183,174,169,154,151,,
TOTAL,766,755,774,756,761,,
Mining,,
Up,160,146,190,192,139,,
Down,197,211,187,189,222,,
Steady,219,207,205,198,210,,
TOTAL,576,564,582,579,571,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"144,460","156,101","317,183","235,331","168,385",,
Put Options,"128,433","173,419","199,887","200,409","184,316",,
TOTAL,"272,893","329,520","517,070","435,740","352,701",,
Value ($'000s),,
Call Options,"32,717","36,412","107,010","164,766","105,217",,
Put Options,"6,399","5,358","6,648","5,607","6,512",,
TOTAL,"39,116","41,770","113,658","170,373","111,729",,
MOVEMENTS:,,
Call Options,,
Up,177,207,498,382,90,,
Down,220,242,139,155,375,,
Steady,22,28,17,22,14,,
TOTAL,419,477,654,559,479,,
Put Options,,
Up,73,101,22,74,323,,
Down,298,319,492,408,175,,
Steady,32,40,9,30,19,,
TOTAL,403,460,523,512,517,,
,
