National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-10-24T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 19,Oct 20,Oct 21,Oct 22,Oct 23,,
Volume ('000s),,
Industrials,"694,447","650,255","719,893","784,070","836,646",,
Mining,"1,002,020","1,047,117","1,104,389","1,225,376","1,367,372",,
TOTAL,"1,696,467","1,697,372","1,824,282","2,009,446","2,204,018",,
Value ($'000s),,
Industrials,"3,339,087","3,238,946","3,227,538","2,823,117","4,099,598",,
Mining,"588,816","730,288","721,911","717,027","745,409",,
TOTAL,"3,927,903","3,969,234","3,949,449","3,540,144","4,845,007",,
MOVEMENTS:,,
Industrials,,
Up,327,305,381,360,543,,
Down,362,360,328,347,217,,
Steady,180,197,164,165,125,,
TOTAL,869,862,873,872,885,,
Mining,,
Up,147,140,205,163,227,,
Down,180,224,170,180,128,,
Steady,179,175,163,183,182,,
TOTAL,506,539,538,526,537,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"101,005","168,241","129,974","124,384","178,836",,
Put Options,"137,068","151,709","129,649","103,277","175,491",,
TOTAL,"238,073","319,950","259,623","227,661","354,327",,
Value ($'000s),,
Call Options,"6,787","11,522","9,845","6,944","22,926",,
Put Options,"7,109","6,992","8,553","8,039","8,829",,
TOTAL,"13,896","18,514","18,398","14,983","31,755",,
MOVEMENTS:,,
Call Options,,
Up,130,86,138,156,468,,
Down,216,301,274,230,142,,
Steady,11,5,17,20,18,,
TOTAL,357,392,429,406,628,,
Put Options,,
Up,112,169,118,88,16,,
Down,181,169,210,243,403,,
Steady,16,16,16,15,4,,
TOTAL,309,354,344,346,423,,
,
