National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-08-20T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 15,Aug 16,Aug 17,Aug 18,Aug 19,,
Volume ('000s),,
Industrials,"1,011,554","1,172,493","1,045,164","1,068,197","1,182,414",,
Mining,"1,016,073","936,494","1,112,118","1,394,736","1,344,880",,
TOTAL,"2,027,627","2,108,987","2,157,282","2,462,933","2,527,294",,
Value ($'000s),,
Industrials,"3,775,043","4,450,577","3,971,635","3,826,977","4,236,646",,
Mining,"1,768,790","1,885,314","1,851,958","1,759,278","2,212,609",,
TOTAL,"5,543,833","6,335,891","5,823,593","5,586,255","6,449,255",,
MOVEMENTS:,,
Industrials,,
Up,419,314,363,174,79,,
Down,155,232,189,346,503,,
Steady,133,142,151,162,115,,
TOTAL,707,688,703,682,697,,
Mining,,
Up,397,261,310,193,128,,
Down,182,335,228,344,500,,
Steady,197,211,242,209,173,,
TOTAL,776,807,780,746,801,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"585,452","402,301","505,075","407,112","393,200",,
Put Options,"371,690","365,284","348,607","432,981","511,159",,
TOTAL,"957,142","767,585","853,682","840,093","904,359",,
Value ($'000s),,
Call Options,"29,998","16,217","19,809","20,133","17,235",,
Put Options,"30,969","25,652","26,256","27,854","50,360",,
TOTAL,"60,967","41,869","46,065","47,987","67,595",,
MOVEMENTS:,,
Call Options,,
Up,579,337,451,147,84,,
Down,272,458,292,511,556,,
Steady,37,35,42,26,17,,
TOTAL,888,830,785,684,657,,
Put Options,,
Up,61,263,92,313,663,,
Down,670,432,566,315,148,,
Steady,5,14,6,10,4,,
TOTAL,736,709,664,638,815,,
,
