National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-01T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 23,Dec 24,Dec 29,Dec 30,Dec 31,,
Volume ('000s),,
Industrials,"865,296","608,725","764,464","666,672","436,468",,
Mining,"1,053,425","850,031","1,064,482","1,130,281","1,016,995",,
TOTAL,"1,918,721","1,458,756","1,828,946","1,796,953","1,453,463",,
Value ($'000s),,
Industrials,"2,148,416","2,287,620","1,511,119","1,332,049","1,006,917",,
Mining,"1,431,268","2,605,770","1,075,401","883,983","767,670",,
TOTAL,"3,579,684","4,893,390","2,586,520","2,216,032","1,774,587",,
MOVEMENTS:,,
Industrials,,
Up,303,214,270,302,240,,
Down,242,287,244,227,258,,
Steady,199,169,181,178,177,,
TOTAL,744,670,695,707,675,,
Mining,,
Up,340,281,411,393,300,,
Down,276,265,226,224,251,,
Steady,234,218,204,208,239,,
TOTAL,850,764,841,825,790,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"90,331","21,294","15,418","19,666","14,727",,
Put Options,"54,673","29,494","28,716","21,363","17,348",,
TOTAL,"145,004","50,788","44,134","41,029","32,075",,
Value ($'000s),,
Call Options,"80,769","9,132","8,306","6,994","6,011",,
Put Options,"17,807","9,864","8,330","9,451","9,813",,
TOTAL,"98,576","18,996","16,636","16,445","15,824",,
MOVEMENTS:,,
Call Options,,
Up,436,58,58,199,52,,
Down,337,357,259,156,190,,
Steady,27,18,12,25,13,,
TOTAL,800,433,329,380,255,,
Put Options,,
Up,81,193,215,90,238,,
Down,564,176,146,226,81,,
Steady,18,30,21,18,9,,
TOTAL,663,399,382,334,328,,
,
