National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-15T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,,
Volume ('000s),,
Industrials,"727,752","905,381","810,405","840,937","771,442",,
Mining,"964,506","841,741","817,533","887,050","717,962",,
TOTAL,"1,692,258","1,747,122","1,627,938","1,727,987","1,489,404",,
Value ($'000s),,
Industrials,"2,752,780","3,354,123","3,204,552","3,161,403","2,885,435",,
Mining,"1,410,089","1,387,449","1,067,572","1,156,661","1,078,237",,
TOTAL,"4,162,869","4,741,572","4,272,124","4,318,064","3,963,672",,
MOVEMENTS:,,
Industrials,,
Up,270,292,192,329,171,,
Down,342,322,387,262,445,,
Steady,143,165,162,176,156,,
TOTAL,755,779,741,767,772,,
Mining,,
Up,145,141,171,217,143,,
Down,255,251,200,163,228,,
Steady,206,220,222,232,200,,
TOTAL,606,612,593,612,571,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"184,550","214,064","202,102","168,386","201,824",,
Put Options,"313,960","260,434","261,396","191,320","239,983",,
TOTAL,"498,510","474,498","463,498","359,706","441,807",,
Value ($'000s),,
Call Options,"17,351","12,616","12,940","10,518","10,502",,
Put Options,"16,466","16,954","14,613","13,162","9,029",,
TOTAL,"33,817","29,570","27,553","23,680","19,531",,
MOVEMENTS:,,
Call Options,,
Up,125,168,127,317,71,,
Down,349,299,406,163,400,,
Steady,10,26,16,13,10,,
TOTAL,484,493,549,493,481,,
Put Options,,
Up,364,217,378,92,462,,
Down,177,292,251,406,183,,
Steady,28,21,24,25,24,,
TOTAL,569,530,653,523,669,,
,
