National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-29T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,,
Volume ('000s),,
Industrials,"893,784","810,989","812,860","828,872","846,420",,
Mining,"770,938","678,377","935,472","643,693","715,171",,
TOTAL,"1,664,722","1,489,366","1,748,332","1,472,565","1,561,591",,
Value ($'000s),,
Industrials,"2,713,885","3,322,535","3,623,751","2,946,121","4,352,543",,
Mining,"772,622","948,070","1,205,815","956,795","1,509,920",,
TOTAL,"3,486,507","4,270,605","4,829,566","3,902,916","5,862,463",,
MOVEMENTS:,,
Industrials,,
Up,296,233,322,204,340,,
Down,305,388,297,371,265,,
Steady,153,137,143,169,151,,
TOTAL,754,758,762,744,756,,
Mining,,
Up,172,142,162,150,196,,
Down,207,235,204,230,184,,
Steady,233,201,215,211,225,,
TOTAL,612,578,581,591,605,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"310,237","257,275","754,755","581,713","329,204",,
Put Options,"278,585","263,540","422,837","606,744","248,598",,
TOTAL,"588,822","520,815","1,177,592","1,188,457","577,802",,
Value ($'000s),,
Call Options,"141,590","42,466","526,576","177,724","16,101",,
Put Options,"15,818","25,095","38,370","67,330","12,949",,
TOTAL,"157,408","67,561","564,946","245,054","29,050",,
MOVEMENTS:,,
Call Options,,
Up,224,158,532,201,293,,
Down,249,365,234,568,306,,
Steady,22,23,18,26,28,,
TOTAL,495,546,784,795,627,,
Put Options,,
Up,110,196,147,481,120,,
Down,393,353,608,433,404,,
Steady,9,21,10,25,23,,
TOTAL,512,570,765,939,547,,
,
