National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-04-27T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 19,Apr 22,Apr 23,Apr 24,Apr 26,,
Volume ('000s),,
Industrials,"715,848","547,067","763,634","878,616","584,338",,
Mining,"802,116","997,632","911,936","834,872","842,868",,
TOTAL,"1,517,964","1,544,699","1,675,570","1,713,488","1,427,206",,
Value ($'000s),,
Industrials,"3,093,980","2,288,584","3,111,759","5,323,532","2,757,034",,
Mining,"1,349,659","737,432","1,283,887","1,668,977","1,038,121",,
TOTAL,"4,443,639","3,026,016","4,395,646","6,992,509","3,795,155",,
MOVEMENTS:,,
Industrials,,
Up,279,321,306,369,295,,
Down,231,198,244,164,271,,
Steady,168,147,138,156,131,,
TOTAL,678,666,688,689,697,,
Mining,,
Up,218,188,141,207,246,,
Down,201,231,288,202,183,,
Steady,212,186,214,239,191,,
TOTAL,631,605,643,648,620,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"276,855","411,403","682,969","416,388","323,064",,
Put Options,"264,625","252,604","433,271","265,527","204,063",,
TOTAL,"541,480","664,007","1,116,240","681,915","527,127",,
Value ($'000s),,
Call Options,"286,167","359,389","155,286","55,825","65,473",,
Put Options,"23,326","27,779","57,042","14,645","8,850",,
TOTAL,"309,493","387,168","212,328","70,470","74,323",,
MOVEMENTS:,,
Call Options,,
Up,238,261,595,625,386,,
Down,331,310,306,178,211,,
Steady,14,26,14,27,27,,
TOTAL,583,597,915,830,624,,
Put Options,,
Up,373,153,180,81,102,,
Down,314,386,578,592,387,,
Steady,20,13,13,11,19,,
TOTAL,707,552,771,684,508,,
,
