National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-04-14T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr  5,Apr 10,Apr 11,Apr 12,Apr 13,,
Volume ('000s),,
Industrials,"816,047","852,725","749,964","644,981","899,069",,
Mining,"1,319,124","1,135,134","1,139,810","1,304,156","1,195,701",,
TOTAL,"2,135,171","1,987,859","1,889,774","1,949,137","2,094,770",,
Value ($'000s),,
Industrials,"2,561,098","2,411,162","2,720,305","2,513,550","2,755,501",,
Mining,"1,537,490","1,158,700","1,372,521","1,209,790","1,484,883",,
TOTAL,"4,098,588","3,569,862","4,092,826","3,723,340","4,240,384",,
MOVEMENTS:,,
Industrials,,
Up,180,158,123,327,364,,
Down,304,341,388,174,160,,
Steady,190,183,185,159,150,,
TOTAL,674,682,696,660,674,,
Mining,,
Up,178,174,136,250,319,,
Down,380,389,390,243,184,,
Steady,235,226,216,238,248,,
TOTAL,793,789,742,731,751,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"235,204","200,078","281,288","264,776","236,127",,
Put Options,"260,535","227,961","274,525","198,517","161,818",,
TOTAL,"495,739","428,039","555,813","463,293","397,945",,
Value ($'000s),,
Call Options,"18,158","12,914","12,084","8,263","8,316",,
Put Options,"13,260","13,620","14,646","13,209","8,369",,
TOTAL,"31,418","26,534","26,730","21,472","16,685",,
MOVEMENTS:,,
Call Options,,
Up,115,77,72,152,367,,
Down,375,396,497,268,183,,
Steady,22,12,9,40,22,,
TOTAL,512,485,578,460,572,,
Put Options,,
Up,375,278,437,123,49,,
Down,141,152,114,275,397,,
Steady,28,31,17,18,8,,
TOTAL,544,461,568,416,454,,
,
