National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-02-16T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,,
Volume ('000s),,
Industrials,"587,703","665,120","726,727","781,148","786,986",,
Mining,"795,413","858,530","962,991","973,622","1,062,801",,
TOTAL,"1,383,116","1,523,650","1,689,718","1,754,770","1,849,787",,
Value ($'000s),,
Industrials,"2,444,696","2,643,020","3,375,435","3,642,282","3,284,795",,
Mining,"877,260","859,462","1,156,331","1,705,529","1,255,334",,
TOTAL,"3,321,956","3,502,482","4,531,766","5,347,811","4,540,129",,
MOVEMENTS:,,
Industrials,,
Up,277,321,331,320,262,,
Down,262,240,236,232,260,,
Steady,167,156,153,151,176,,
TOTAL,706,717,720,703,698,,
Mining,,
Up,235,196,244,241,235,,
Down,234,279,243,280,259,,
Steady,237,226,218,203,228,,
TOTAL,706,701,705,724,722,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"290,221","360,446","516,190","621,377","591,026",,
Put Options,"220,146","249,230","395,511","449,506","362,550",,
TOTAL,"510,367","609,676","911,701","1,070,883","953,576",,
Value ($'000s),,
Call Options,"19,401","56,393","1,620,440","96,878","333,691",,
Put Options,"10,500","12,516","15,308","33,743","17,697",,
TOTAL,"29,901","68,909","1,635,748","130,621","351,388",,
MOVEMENTS:,,
Call Options,,
Up,426,359,725,837,509,,
Down,216,312,201,268,421,,
Steady,27,33,31,33,28,,
TOTAL,669,704,957,"1,138",958,,
Put Options,,
Up,150,174,106,155,290,,
Down,423,414,692,721,489,,
Steady,37,28,25,29,44,,
TOTAL,610,616,823,905,823,,
,
