National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-10-05T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 30,Oct  1,Oct  2,Oct  3,Oct  4,,
Volume ('000s),,
Industrials,"621,266","651,150","648,389","676,297","579,957",,
Mining,"916,041","791,781","819,616","768,070","684,590",,
TOTAL,"1,537,307","1,442,931","1,468,005","1,444,367","1,264,547",,
Value ($'000s),,
Industrials,"2,813,290","2,603,639","2,400,362","2,465,999","2,207,464",,
Mining,"836,596","710,485","872,737","616,046","668,588",,
TOTAL,"3,649,886","3,314,124","3,273,099","3,082,045","2,876,052",,
MOVEMENTS:,,
Industrials,,
Up,171,256,315,288,210,,
Down,393,285,242,247,371,,
Steady,147,143,142,160,128,,
TOTAL,711,684,699,695,709,,
Mining,,
Up,158,144,169,186,166,,
Down,257,241,226,205,228,,
Steady,203,183,194,216,190,,
TOTAL,618,568,589,607,584,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"179,625","142,468","166,565","152,478","120,902",,
Put Options,"204,854","123,620","128,086","130,374","159,074",,
TOTAL,"384,479","266,088","294,651","282,852","279,976",,
Value ($'000s),,
Call Options,"13,138","11,375","15,271","8,681","4,986",,
Put Options,"8,950","8,910","9,980","6,516","6,609",,
TOTAL,"22,088","20,285","25,251","15,197","11,595",,
MOVEMENTS:,,
Call Options,,
Up,80,90,133,257,101,,
Down,421,381,350,189,337,,
Steady,10,18,24,19,14,,
TOTAL,511,489,507,465,452,,
Put Options,,
Up,392,321,242,91,293,,
Down,208,148,171,293,139,,
Steady,18,27,22,15,28,,
TOTAL,618,496,435,399,460,,
,
