National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-10-15T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,,
Volume ('000s),,
Industrials,"778,497","831,674","983,571","1,060,406","664,693",,
Mining,"802,420","920,102","674,934","1,008,360","914,413",,
TOTAL,"1,580,917","1,751,776","1,658,505","2,068,766","1,579,106",,
Value ($'000s),,
Industrials,"2,752,955","3,013,741","2,936,045","3,555,729","2,212,770",,
Mining,"1,505,353","1,827,263","1,545,854","2,237,267","1,400,237",,
TOTAL,"4,258,308","4,841,004","4,481,899","5,792,996","3,613,007",,
MOVEMENTS:,,
Industrials,,
Up,318,365,214,303,199,,
Down,190,151,279,199,300,,
Steady,146,162,165,172,157,,
TOTAL,654,678,658,674,656,,
Mining,,
Up,294,352,201,302,235,,
Down,225,204,288,218,295,,
Steady,206,197,201,213,177,,
TOTAL,725,753,690,733,707,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"270,634","350,171","242,535","216,781","184,087",,
Put Options,"213,814","338,547","241,292","233,420","217,836",,
TOTAL,"484,448","688,718","483,827","450,201","401,923",,
Value ($'000s),,
Call Options,"15,178","23,599","13,958","14,757","11,559",,
Put Options,"14,835","26,900","17,403","16,166","16,237",,
TOTAL,"30,013","50,499","31,361","30,923","27,796",,
MOVEMENTS:,,
Call Options,,
Up,461,585,182,343,111,,
Down,241,167,392,282,347,,
Steady,37,26,20,30,15,,
TOTAL,739,778,594,655,473,,
Put Options,,
Up,43,39,230,54,201,,
Down,496,591,278,545,285,,
Steady,11,11,26,9,21,,
TOTAL,550,641,534,608,507,,
,
