National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-24T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 19,May 20,May 21,May 22,May 23,,
Volume ('000s),,
Industrials,"802,492","874,772","814,972","712,171","969,964",,
Mining,"659,007","618,817","714,331","826,380","694,140",,
TOTAL,"1,461,499","1,493,589","1,529,303","1,538,551","1,664,104",,
Value ($'000s),,
Industrials,"2,750,725","2,949,048","3,426,184","3,114,240","3,013,963",,
Mining,"981,265","813,649","1,047,317","947,861","787,831",,
TOTAL,"3,731,990","3,762,697","4,473,501","4,062,101","3,801,794",,
MOVEMENTS:,,
Industrials,,
Up,203,314,240,371,338,,
Down,390,277,338,207,257,,
Steady,173,176,171,177,163,,
TOTAL,766,767,749,755,758,,
Mining,,
Up,154,160,154,189,187,,
Down,243,223,217,171,178,,
Steady,222,229,230,227,250,,
TOTAL,619,612,601,587,615,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"170,868","178,878","282,603","198,885","210,521",,
Put Options,"244,087","248,476","273,305","195,516","171,142",,
TOTAL,"414,955","427,354","555,908","394,401","381,663",,
Value ($'000s),,
Call Options,"25,452","12,137","11,641","15,756","50,142",,
Put Options,"10,092","11,495","12,869","9,366","5,959",,
TOTAL,"35,544","23,632","24,510","25,122","56,101",,
MOVEMENTS:,,
Call Options,,
Up,46,122,129,387,287,,
Down,391,361,325,118,147,,
Steady,7,15,17,11,16,,
TOTAL,444,498,471,516,450,,
Put Options,,
Up,374,287,363,52,74,,
Down,153,237,197,384,346,,
Steady,16,19,22,8,8,,
TOTAL,543,543,582,444,428,,
,
