National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-04-13T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr  8,Apr  9,Apr 10,Apr 11,Apr 12,,
Volume ('000s),,
Industrials,"681,150","782,438","748,659","696,424","671,590",,
Mining,"847,270","1,043,922","867,897","906,537","865,731",,
TOTAL,"1,528,420","1,826,360","1,616,556","1,602,961","1,537,321",,
Value ($'000s),,
Industrials,"2,597,017","3,747,817","3,513,665","3,158,367","2,811,927",,
Mining,"916,050","1,283,359","1,449,550","1,029,411","954,454",,
TOTAL,"3,513,067","5,031,176","4,963,215","4,187,778","3,766,381",,
MOVEMENTS:,,
Industrials,,
Up,276,328,268,339,286,,
Down,277,211,253,199,248,,
Steady,131,153,157,134,167,,
TOTAL,684,692,678,672,701,,
Mining,,
Up,223,249,251,190,201,,
Down,246,215,216,252,249,,
Steady,214,217,215,217,217,,
TOTAL,683,681,682,659,667,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"189,231","306,268","247,374","218,813","212,351",,
Put Options,"188,177","204,724","178,917","153,446","163,332",,
TOTAL,"377,408","510,992","426,291","372,259","375,683",,
Value ($'000s),,
Call Options,"20,778","11,912","15,025","16,607","10,212",,
Put Options,"9,109","10,751","9,387","7,414","6,934",,
TOTAL,"29,887","22,663","24,412","24,021","17,146",,
MOVEMENTS:,,
Call Options,,
Up,167,389,312,359,283,,
Down,361,196,247,196,161,,
Steady,20,23,18,19,29,,
TOTAL,548,608,577,574,473,,
Put Options,,
Up,217,73,124,78,102,,
Down,303,431,341,374,334,,
Steady,18,6,23,8,18,,
TOTAL,538,510,488,460,454,,
,
