National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-07-19T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,,
Volume ('000s),,
Industrials,"589,785","576,318","625,840","804,574","705,948",,
Mining,"813,313","881,144","1,099,504","1,062,466","923,431",,
TOTAL,"1,403,098","1,457,462","1,725,344","1,867,040","1,629,379",,
Value ($'000s),,
Industrials,"1,970,995","2,364,394","2,434,967","3,343,444","2,892,342",,
Mining,"664,528","902,939","953,469","1,233,662","857,496",,
TOTAL,"2,635,523","3,267,333","3,388,436","4,577,106","3,749,838",,
MOVEMENTS:,,
Industrials,,
Up,344,296,327,321,288,,
Down,258,304,262,295,309,,
Steady,174,167,177,159,170,,
TOTAL,776,767,766,775,767,,
Mining,,
Up,183,176,219,264,232,,
Down,202,236,194,167,189,,
Steady,207,191,191,193,189,,
TOTAL,592,603,604,624,610,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"134,405","152,601","168,039","367,985","185,912",,
Put Options,"112,563","137,352","187,826","210,195","177,868",,
TOTAL,"246,968","289,953","355,865","578,180","363,780",,
Value ($'000s),,
Call Options,"6,371","38,782","8,479","562,316","28,400",,
Put Options,"5,378","6,667","7,543","8,564","7,336",,
TOTAL,"11,749","45,449","16,022","570,880","35,736",,
MOVEMENTS:,,
Call Options,,
Up,252,207,221,382,171,,
Down,148,174,215,131,242,,
Steady,21,21,22,17,21,,
TOTAL,421,402,458,530,434,,
Put Options,,
Up,52,91,69,60,203,,
Down,302,265,284,399,199,,
Steady,14,17,19,17,23,,
TOTAL,368,373,372,476,425,,
,
