National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-09-27T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,,
Volume ('000s),,
Industrials,"727,812","762,863","717,301","704,538","741,133",,
Mining,"864,380","997,240","910,623","902,421","1,059,511",,
TOTAL,"1,592,192","1,760,103","1,627,924","1,606,959","1,800,644",,
Value ($'000s),,
Industrials,"3,030,665","3,507,036","3,138,547","3,169,839","4,080,356",,
Mining,"1,022,904","1,046,031","881,965","915,219","1,448,748",,
TOTAL,"4,053,569","4,553,067","4,020,512","4,085,058","5,529,104",,
MOVEMENTS:,,
Industrials,,
Up,215,327,191,343,173,,
Down,441,292,436,259,467,,
Steady,163,174,166,173,145,,
TOTAL,819,793,793,775,785,,
Mining,,
Up,111,157,119,182,132,,
Down,275,245,244,211,224,,
Steady,218,207,218,212,223,,
TOTAL,604,609,581,605,579,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"903,292","442,569","388,669","462,085","276,690",,
Put Options,"385,097","376,975","474,252","584,231","237,749",,
TOTAL,"1,288,389","819,544","862,921","1,046,316","514,439",,
Value ($'000s),,
Call Options,"664,412","373,194","130,110","53,621","12,561",,
Put Options,"26,689","33,301","53,020","63,461","15,409",,
TOTAL,"691,101","406,495","183,130","117,082","27,970",,
MOVEMENTS:,,
Call Options,,
Up,39,213,143,194,41,,
Down,487,301,350,395,523,,
Steady,6,19,21,37,4,,
TOTAL,532,533,514,626,568,,
Put Options,,
Up,580,373,382,311,478,,
Down,112,274,246,465,76,,
Steady,26,22,35,19,14,,
TOTAL,718,669,663,795,568,,
,
