National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-09T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov  4,Nov  5,Nov  6,Nov  7,Nov  8,,
Volume ('000s),,
Industrials,"738,944","630,953","982,041","974,057","876,496",,
Mining,"644,774","558,149","687,657","647,201","787,064",,
TOTAL,"1,383,718","1,189,102","1,669,698","1,621,258","1,663,560",,
Value ($'000s),,
Industrials,"2,547,862","1,925,430","3,288,729","4,534,225","3,070,547",,
Mining,"627,446","667,408","933,120","907,725","1,263,881",,
TOTAL,"3,175,308","2,592,838","4,221,849","5,441,950","4,334,428",,
MOVEMENTS:,,
Industrials,,
Up,236,338,245,320,260,,
Down,358,213,342,251,317,,
Steady,156,146,157,172,151,,
TOTAL,750,697,744,743,728,,
Mining,,
Up,165,218,177,167,173,,
Down,263,179,210,225,237,,
Steady,216,182,226,214,237,,
TOTAL,644,579,613,606,647,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"179,651","140,655","362,297","260,455","206,921",,
Put Options,"154,781","119,299","209,658","295,132","246,963",,
TOTAL,"334,432","259,954","571,955","555,587","453,884",,
Value ($'000s),,
Call Options,"67,031","37,559","281,826","51,209","33,698",,
Put Options,"10,146","10,018","13,121","14,196","13,229",,
TOTAL,"77,177","47,577","294,947","65,405","46,927",,
MOVEMENTS:,,
Call Options,,
Up,146,280,333,321,192,,
Down,293,155,270,241,301,,
Steady,13,12,17,27,15,,
TOTAL,452,447,620,589,508,,
Put Options,,
Up,202,60,185,180,256,,
Down,270,366,374,381,251,,
Steady,25,17,38,18,38,,
TOTAL,497,443,597,579,545,,
,
