National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-06-29T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,,
Volume ('000s),,
Industrials,"794,185","1,007,898","855,568","793,236","962,851",,
Mining,"875,866","904,238","923,049","891,914","881,560",,
TOTAL,"1,670,051","1,912,136","1,778,617","1,685,150","1,844,411",,
Value ($'000s),,
Industrials,"3,204,798","3,844,146","3,511,450","3,882,333","5,060,358",,
Mining,"980,379","1,153,152","1,068,293","1,000,249","1,797,405",,
TOTAL,"4,185,177","4,997,298","4,579,743","4,882,582","6,857,763",,
MOVEMENTS:,,
Industrials,,
Up,125,211,402,398,319,,
Down,454,372,183,159,282,,
Steady,153,160,157,168,167,,
TOTAL,732,743,742,725,768,,
Mining,,
Up,121,123,213,240,230,,
Down,400,395,246,237,279,,
Steady,222,247,264,229,248,,
TOTAL,743,765,723,706,757,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"176,871","714,336","322,887","1,000,081","259,391",,
Put Options,"332,980","615,025","400,879","566,689","200,556",,
TOTAL,"509,851","1,329,361","723,766","1,566,770","459,947",,
Value ($'000s),,
Call Options,"15,968","500,283","35,100","303,942","42,244",,
Put Options,"35,716","96,099","64,149","101,726","18,298",,
TOTAL,"51,684","596,382","99,249","405,668","60,542",,
MOVEMENTS:,,
Call Options,,
Up,57,142,432,675,373,,
Down,524,554,291,369,384,,
Steady,12,15,21,23,25,,
TOTAL,593,711,744,"1,067",782,,
Put Options,,
Up,646,620,259,228,168,,
Down,162,252,533,767,400,,
Steady,23,21,13,16,24,,
TOTAL,831,893,805,"1,011",592,,
,
