National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-03-26T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,,
Volume ('000s),,
Industrials,"1,345,848","1,405,653","1,522,182","1,047,089","1,180,772",,
Mining,"1,727,230","1,575,676","1,503,783","1,621,337","1,905,755",,
TOTAL,"3,073,078","2,981,329","3,025,965","2,668,426","3,086,527",,
Value ($'000s),,
Industrials,"3,033,799","3,238,791","2,902,998","2,763,546","4,738,543",,
Mining,"1,863,256","1,945,707","1,677,734","1,891,171","3,591,402",,
TOTAL,"4,897,055","5,184,498","4,580,732","4,654,717","8,329,945",,
MOVEMENTS:,,
Industrials,,
Up,326,346,267,378,374,,
Down,249,234,281,220,212,,
Steady,186,190,205,176,195,,
TOTAL,761,770,753,774,781,,
Mining,,
Up,447,384,306,410,414,,
Down,191,271,313,239,232,,
Steady,219,208,216,207,218,,
TOTAL,857,863,835,856,864,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"42,753","41,237","94,848","70,296","61,981",,
Put Options,"77,355","58,717","58,701","87,649","39,392",,
TOTAL,"120,108","99,954","153,549","157,945","101,373",,
Value ($'000s),,
Call Options,"24,633","26,133","570,721","68,642","30,071",,
Put Options,"26,924","23,820","27,102","37,161","9,677",,
TOTAL,"51,557","49,953","597,823","105,803","39,748",,
MOVEMENTS:,,
Call Options,,
Up,281,221,162,417,538,,
Down,213,289,321,269,193,,
Steady,17,41,26,32,43,,
TOTAL,511,551,509,718,774,,
Put Options,,
Up,90,131,182,91,42,,
Down,498,478,394,667,596,,
Steady,8,24,32,15,14,,
TOTAL,596,633,608,773,652,,
,
