National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-29T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 21,Jan 24,Jan 25,Jan 27,Jan 28,,
Volume ('000s),,
Industrials,"1,189,692","1,118,935","1,192,326","1,262,380","1,046,325",,
Mining,"1,758,593","1,586,773","1,632,975","1,728,255","1,888,371",,
TOTAL,"2,948,285","2,705,708","2,825,301","2,990,635","2,934,696",,
Value ($'000s),,
Industrials,"2,976,585","2,674,719","2,914,725","3,176,528","4,005,544",,
Mining,"2,295,320","1,630,748","1,668,167","1,982,072","2,757,011",,
TOTAL,"5,271,905","4,305,467","4,582,892","5,158,600","6,762,555",,
MOVEMENTS:,,
Industrials,,
Up,248,310,344,274,234,,
Down,327,256,274,322,336,,
Steady,199,210,181,200,199,,
TOTAL,774,776,799,796,769,,
Mining,,
Up,181,266,329,339,158,,
Down,485,403,351,332,548,,
Steady,218,218,213,213,195,,
TOTAL,884,887,893,884,901,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"35,071","32,308","43,308","87,398","45,291",,
Put Options,"42,000","36,728","36,517","61,168","44,482",,
TOTAL,"77,071","69,036","79,825","148,566","89,773",,
Value ($'000s),,
Call Options,"23,809","24,980","31,026","185,820","20,834",,
Put Options,"19,378","16,630","17,229","25,176","18,046",,
TOTAL,"43,187","41,610","48,255","210,996","38,880",,
MOVEMENTS:,,
Call Options,,
Up,92,277,382,256,92,,
Down,359,232,154,431,418,,
Steady,14,19,28,18,16,,
TOTAL,465,528,564,705,526,,
Put Options,,
Up,356,155,65,118,287,,
Down,163,309,435,466,212,,
Steady,17,18,15,31,27,,
TOTAL,536,482,515,615,526,,
,
