National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-30T23:15:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,,
Volume ('000s),,
Industrials,"931,397","850,810","784,425","729,352","1,095,345",,
Mining,"834,127","968,906","983,389","897,364","1,251,034",,
TOTAL,"1,765,524","1,819,716","1,767,814","1,626,716","2,346,379",,
Value ($'000s),,
Industrials,"2,593,358","2,496,637","2,319,765","2,661,373","4,579,707",,
Mining,"1,120,380","1,113,185","1,155,486","1,202,711","2,769,800",,
TOTAL,"3,713,738","3,609,822","3,475,251","3,864,084","7,349,507",,
MOVEMENTS:,,
Industrials,,
Up,206,172,327,264,385,,
Down,329,368,203,257,169,,
Steady,194,207,192,190,227,,
TOTAL,729,747,722,711,781,,
Mining,,
Up,136,152,221,243,370,,
Down,442,425,309,291,217,,
Steady,224,247,238,249,258,,
TOTAL,802,824,768,783,845,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"768,289","304,776","495,206","944,558","493,630",,
Put Options,"262,179","387,271","389,898","653,083","354,931",,
TOTAL,"1,030,468","692,047","885,104","1,597,641","848,561",,
Value ($'000s),,
Call Options,"310,132","21,232","111,090","148,557","21,004",,
Put Options,"33,315","36,831","52,273","74,614","26,357",,
TOTAL,"343,447","58,063","163,363","223,171","47,361",,
MOVEMENTS:,,
Call Options,,
Up,54,125,287,443,488,,
Down,474,437,351,404,321,,
Steady,16,36,46,41,39,,
TOTAL,544,598,684,888,848,,
Put Options,,
Up,446,388,318,370,167,,
Down,181,252,447,575,577,,
Steady,36,27,21,31,14,,
TOTAL,663,667,786,976,758,,
,
