National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-10-22T23:15:15+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 17,Oct 18,Oct 19,Oct 20,Oct 21,,
Volume ('000s),,
Industrials,"660,280","698,533","760,338","790,051","759,232",,
Mining,"1,085,980","1,074,093","976,462","801,813","841,071",,
TOTAL,"1,746,260","1,772,626","1,736,800","1,591,864","1,600,303",,
Value ($'000s),,
Industrials,"2,145,546","2,467,246","2,767,858","2,915,425","2,490,362",,
Mining,"1,283,435","1,771,009","1,955,805","1,929,973","1,642,771",,
TOTAL,"3,428,981","4,238,255","4,723,663","4,845,398","4,133,133",,
MOVEMENTS:,,
Industrials,,
Up,358,125,346,158,271,,
Down,161,396,201,330,234,,
Steady,150,142,128,184,161,,
TOTAL,669,663,675,672,666,,
Mining,,
Up,373,141,264,157,221,,
Down,165,431,258,367,269,,
Steady,216,167,204,201,209,,
TOTAL,754,739,726,725,699,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"270,305","352,433","210,030","315,051","259,127",,
Put Options,"260,339","310,243","234,865","322,729","265,255",,
TOTAL,"530,644","662,676","444,895","637,780","524,382",,
Value ($'000s),,
Call Options,"17,417","17,547","11,889","16,652","14,780",,
Put Options,"15,465","15,018","21,092","39,050","26,567",,
TOTAL,"32,882","32,565","32,981","55,702","41,347",,
MOVEMENTS:,,
Call Options,,
Up,439,83,192,73,138,,
Down,229,442,371,502,443,,
Steady,32,12,48,11,24,,
TOTAL,700,537,611,586,605,,
Put Options,,
Up,18,396,204,502,261,,
Down,607,237,343,144,260,,
Steady,3,18,12,14,18,,
TOTAL,628,651,559,660,539,,
,
