National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-05T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 28,Dec 31,Jan  2,Jan  3,Jan  4,,
Volume ('000s),,
Industrials,"420,008","303,709","476,611","487,855","486,588",,
Mining,"497,843","317,574","571,506","925,026","653,595",,
TOTAL,"917,851","621,283","1,048,117","1,412,881","1,140,183",,
Value ($'000s),,
Industrials,"1,024,708","921,635","1,389,528","1,795,829","1,629,843",,
Mining,"513,023","338,897","715,074","986,714","821,177",,
TOTAL,"1,537,731","1,260,532","2,104,602","2,782,543","2,451,020",,
MOVEMENTS:,,
Industrials,,
Up,301,178,392,353,210,,
Down,170,269,145,164,265,,
Steady,151,159,122,150,172,,
TOTAL,622,606,659,667,647,,
Mining,,
Up,229,170,296,315,183,,
Down,158,173,162,154,271,,
Steady,194,205,181,189,209,,
TOTAL,581,548,639,658,663,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"169,644","89,453","305,986","390,625","215,696",,
Put Options,"153,442","95,822","202,341","301,303","166,670",,
TOTAL,"323,086","185,275","508,327","691,928","382,366",,
Value ($'000s),,
Call Options,"37,586","12,695","48,839","63,965","15,749",,
Put Options,"7,701","3,742","7,199","9,874","6,535",,
TOTAL,"45,287","16,437","56,038","73,839","22,284",,
MOVEMENTS:,,
Call Options,,
Up,396,150,502,641,264,,
Down,71,208,103,103,271,,
Steady,17,17,25,15,18,,
TOTAL,484,375,630,759,553,,
Put Options,,
Up,19,203,46,17,194,,
Down,415,150,507,597,321,,
Steady,16,26,10,8,35,,
TOTAL,450,379,563,622,550,,
,
