National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-17T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 12,May 13,May 14,May 15,May 16,,
Volume ('000s),,
Industrials,"692,122","845,352","667,147","705,680","668,741",,
Mining,"604,865","777,182","674,980","737,937","626,911",,
TOTAL,"1,296,987","1,622,534","1,342,127","1,443,617","1,295,652",,
Value ($'000s),,
Industrials,"2,124,704","3,644,507","3,156,558","3,048,738","2,533,968",,
Mining,"572,749","1,094,751","717,438","734,793","735,327",,
TOTAL,"2,697,453","4,739,258","3,873,996","3,783,531","3,269,295",,
MOVEMENTS:,,
Industrials,,
Up,236,372,344,308,228,,
Down,343,234,232,276,371,,
Steady,180,155,172,189,172,,
TOTAL,759,761,748,773,771,,
Mining,,
Up,153,184,179,165,165,,
Down,244,208,180,193,220,,
Steady,214,225,213,226,194,,
TOTAL,611,617,572,584,579,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"302,154","264,529","250,976","186,047","286,850",,
Put Options,"152,910","220,554","208,298","150,050","142,459",,
TOTAL,"455,064","485,083","459,274","336,097","429,309",,
Value ($'000s),,
Call Options,"567,580","20,769","283,979","10,144","9,360",,
Put Options,"10,595","7,657","7,693","7,335","4,567",,
TOTAL,"578,175","28,426","291,672","17,479","13,927",,
MOVEMENTS:,,
Call Options,,
Up,79,360,270,223,98,,
Down,290,156,172,167,235,,
Steady,18,10,27,22,20,,
TOTAL,387,526,469,412,353,,
Put Options,,
Up,188,46,62,56,182,,
Down,174,404,402,317,208,,
Steady,20,12,14,25,26,,
TOTAL,382,462,478,398,416,,
,
