National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-03-30T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 22,Mar 25,Mar 26,Mar 27,Mar 28,,
Volume ('000s),,
Industrials,"654,145","606,650","739,919","685,951","958,336",,
Mining,"1,438,367","1,049,823","1,480,802","952,281","1,054,956",,
TOTAL,"2,092,512","1,656,473","2,220,721","1,638,232","2,013,292",,
Value ($'000s),,
Industrials,"3,189,582","2,836,847","3,244,407","2,756,654","5,281,014",,
Mining,"843,781","774,069","1,027,603","884,044","2,362,178",,
TOTAL,"4,033,363","3,610,916","4,272,010","3,640,698","7,643,192",,
MOVEMENTS:,,
Industrials,,
Up,222,265,223,345,236,,
Down,314,266,299,186,293,,
Steady,152,164,159,155,166,,
TOTAL,688,695,681,686,695,,
Mining,,
Up,204,196,176,170,201,,
Down,257,270,275,275,258,,
Steady,216,218,209,226,225,,
TOTAL,677,684,660,671,684,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"248,619","955,224","375,635","979,293","293,142",,
Put Options,"241,280","277,088","446,827","503,454","279,160",,
TOTAL,"489,899","1,232,312","822,462","1,482,747","572,302",,
Value ($'000s),,
Call Options,"19,421","683,001","75,232","379,027","25,044",,
Put Options,"17,651","29,007","54,589","79,716","23,003",,
TOTAL,"37,072","712,008","129,821","458,743","48,047",,
MOVEMENTS:,,
Call Options,,
Up,190,358,104,332,226,,
Down,424,298,560,575,424,,
Steady,15,22,4,28,32,,
TOTAL,629,678,668,935,682,,
Put Options,,
Up,319,181,476,285,246,,
Down,348,429,232,656,399,,
Steady,31,14,17,13,25,,
TOTAL,698,624,725,954,670,,
,
