National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-11-28T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,,
Volume ('000s),,
Industrials,"730,134","1,168,529","859,075","839,381","825,627",,
Mining,"1,044,093","1,204,782","1,396,479","1,066,392","1,077,559",,
TOTAL,"1,774,227","2,373,311","2,255,554","1,905,773","1,903,186",,
Value ($'000s),,
Industrials,"3,127,186","4,468,749","3,562,503","3,411,796","3,814,682",,
Mining,"847,675","759,263","667,141","797,634","828,097",,
TOTAL,"3,974,861","5,228,012","4,229,644","4,209,430","4,642,779",,
MOVEMENTS:,,
Industrials,,
Up,457,266,252,397,305,,
Down,295,463,444,347,411,,
Steady,165,167,183,173,183,,
TOTAL,917,896,879,917,899,,
Mining,,
Up,141,125,152,137,149,,
Down,206,212,169,203,176,,
Steady,179,188,188,199,198,,
TOTAL,526,525,509,539,523,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"185,049","146,194","203,521","413,697","183,972",,
Put Options,"137,884","186,909","263,870","367,600","129,868",,
TOTAL,"322,933","333,103","467,391","781,297","313,840",,
Value ($'000s),,
Call Options,"17,337","83,499","18,655","27,368","7,623",,
Put Options,"17,184","28,199","31,878","40,472","9,338",,
TOTAL,"34,521","111,698","50,533","67,840","16,961",,
MOVEMENTS:,,
Call Options,,
Up,267,116,85,282,129,,
Down,159,253,304,339,327,,
Steady,26,18,10,18,20,,
TOTAL,452,387,399,639,476,,
Put Options,,
Up,108,190,250,243,133,,
Down,264,248,222,338,214,,
Steady,12,17,27,16,32,,
TOTAL,384,455,499,597,379,,
,
