National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-03-05T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 28,Mar  1,Mar  2,Mar  3,Mar  4,,
Volume ('000s),,
Industrials,"807,234","1,324,479","1,536,730","1,817,275","1,383,475",,
Mining,"1,984,822","2,816,877","2,378,269","2,313,527","2,429,231",,
TOTAL,"2,792,056","4,141,356","3,914,999","4,130,802","3,812,706",,
Value ($'000s),,
Industrials,"2,020,532","4,037,834","4,038,233","4,141,694","3,318,165",,
Mining,"1,230,520","2,255,345","2,157,628","1,768,823","1,963,446",,
TOTAL,"3,251,052","6,293,179","6,195,861","5,910,517","5,281,611",,
MOVEMENTS:,,
Industrials,,
Up,309,301,218,316,434,,
Down,294,331,396,276,190,,
Steady,185,193,178,196,172,,
TOTAL,788,825,792,788,796,,
Mining,,
Up,340,317,299,373,398,,
Down,340,373,385,315,302,,
Steady,208,221,204,211,209,,
TOTAL,888,911,888,899,909,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"31,982","35,913","39,197","32,237","43,219",,
Put Options,"31,093","29,322","50,214","28,894","29,880",,
TOTAL,"63,075","65,235","89,411","61,131","73,099",,
Value ($'000s),,
Call Options,"12,598","29,376","14,254","23,105","47,836",,
Put Options,"9,286","11,682","23,484","12,911","10,734",,
TOTAL,"21,884","41,058","37,738","36,016","58,570",,
MOVEMENTS:,,
Call Options,,
Up,153,280,89,292,482,,
Down,271,307,464,292,154,,
Steady,25,45,10,39,25,,
TOTAL,449,632,563,623,661,,
Put Options,,
Up,175,203,513,256,74,,
Down,215,358,158,332,549,,
Steady,28,26,25,25,16,,
TOTAL,418,587,696,613,639,,
,
