National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-19T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,,
Volume ('000s),,
Industrials,"1,109,175","1,054,707","1,093,289","1,262,354","1,218,543",,
Mining,"2,015,699","1,840,067","1,854,708","2,005,202","2,176,463",,
TOTAL,"3,124,874","2,894,774","2,947,997","3,267,556","3,395,006",,
Value ($'000s),,
Industrials,"3,868,527","3,194,783","3,446,683","3,650,863","3,410,304",,
Mining,"1,674,880","1,576,756","2,063,358","1,603,180","1,507,901",,
TOTAL,"5,543,407","4,771,539","5,510,041","5,254,043","4,918,205",,
MOVEMENTS:,,
Industrials,,
Up,386,289,297,337,338,,
Down,222,317,309,269,275,,
Steady,210,204,190,202,198,,
TOTAL,818,810,796,808,811,,
Mining,,
Up,356,340,353,338,349,,
Down,321,360,333,361,332,,
Steady,234,216,221,222,240,,
TOTAL,911,916,907,921,921,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"59,406","46,439","55,897","50,521","46,049",,
Put Options,"41,851","35,118","45,749","46,632","38,206",,
TOTAL,"101,257","81,557","101,646","97,153","84,255",,
Value ($'000s),,
Call Options,"55,293","19,293","25,987","17,242","20,574",,
Put Options,"16,689","10,163","8,811","12,258","9,327",,
TOTAL,"71,982","29,456","34,798","29,500","29,901",,
MOVEMENTS:,,
Call Options,,
Up,359,224,219,245,244,,
Down,171,258,285,252,285,,
Steady,32,33,15,37,31,,
TOTAL,562,515,519,534,560,,
Put Options,,
Up,77,164,111,90,183,,
Down,451,314,361,382,296,,
Steady,12,29,24,20,28,,
TOTAL,540,507,496,492,507,,
,
