National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-02-15T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,,
Volume ('000s),,
Industrials,"672,360","617,413","815,782","825,654","780,839",,
Mining,"800,673","1,064,390","993,160","869,774","899,684",,
TOTAL,"1,473,033","1,681,803","1,808,942","1,695,428","1,680,523",,
Value ($'000s),,
Industrials,"2,808,874","3,052,790","3,826,133","3,220,736","3,179,581",,
Mining,"895,162","733,438","1,201,716","788,432","1,080,914",,
TOTAL,"3,704,036","3,786,228","5,027,849","4,009,168","4,260,495",,
MOVEMENTS:,,
Industrials,,
Up,361,303,379,318,373,,
Down,252,252,209,284,236,,
Steady,165,196,169,145,153,,
TOTAL,778,751,757,747,762,,
Mining,,
Up,192,210,241,209,267,,
Down,179,174,179,179,161,,
Steady,240,230,197,220,207,,
TOTAL,611,614,617,608,635,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"195,953","206,223","399,510","297,926","323,551",,
Put Options,"144,216","126,314","282,103","203,406","223,307",,
TOTAL,"340,169","332,537","681,613","501,332","546,858",,
Value ($'000s),,
Call Options,"41,062","25,818","19,144","59,492","203,546",,
Put Options,"18,814","8,504","13,566","13,406","11,481",,
TOTAL,"59,876","34,322","32,710","72,898","215,027",,
MOVEMENTS:,,
Call Options,,
Up,257,436,587,415,503,,
Down,137,149,222,253,229,,
Steady,21,19,22,35,23,,
TOTAL,415,604,831,703,755,,
Put Options,,
Up,40,70,82,87,33,,
Down,288,380,526,464,505,,
Steady,10,7,13,24,10,,
TOTAL,338,457,621,575,548,,
,
