National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-04-18T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,,
Volume ('000s),,
Industrials,"799,372","862,641","832,591","868,946","821,754",,
Mining,"826,437","695,576","738,424","719,599","707,446",,
TOTAL,"1,625,809","1,558,217","1,571,015","1,588,545","1,529,200",,
Value ($'000s),,
Industrials,"2,532,578","3,210,803","4,052,043","3,330,601","3,582,823",,
Mining,"726,089","749,203","894,101","988,819","740,059",,
TOTAL,"3,258,667","3,960,006","4,946,144","4,319,420","4,322,882",,
MOVEMENTS:,,
Industrials,,
Up,332,309,267,390,228,,
Down,337,366,388,294,458,,
Steady,187,166,203,174,163,,
TOTAL,856,841,858,858,849,,
Mining,,
Up,183,143,155,187,168,,
Down,160,199,182,146,177,,
Steady,204,215,211,187,196,,
TOTAL,547,557,548,520,541,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"143,029","167,506","184,041","257,671","135,222",,
Put Options,"172,170","150,203","170,249","162,064","220,420",,
TOTAL,"315,199","317,709","354,290","419,735","355,642",,
Value ($'000s),,
Call Options,"13,156","60,098","11,327","238,192","59,172",,
Put Options,"11,307","7,703","10,134","7,262","10,297",,
TOTAL,"24,463","67,801","21,461","245,454","69,469",,
MOVEMENTS:,,
Call Options,,
Up,227,147,190,264,88,,
Down,185,290,311,170,310,,
Steady,16,10,9,18,8,,
TOTAL,428,447,510,452,406,,
Put Options,,
Up,107,191,208,81,271,,
Down,239,183,203,299,159,,
Steady,12,25,19,11,9,,
TOTAL,358,399,430,391,439,,
,
