National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-08-04T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 30,Jul 31,Aug  1,Aug  2,Aug  3,,
Volume ('000s),,
Industrials,"639,995","729,087","684,369","656,036","676,747",,
Mining,"833,127","979,987","860,562","875,452","735,470",,
TOTAL,"1,473,122","1,709,074","1,544,931","1,531,488","1,412,217",,
Value ($'000s),,
Industrials,"2,659,752","3,187,554","2,417,620","2,891,598","2,735,072",,
Mining,"988,571","1,167,169","861,183","1,084,428","907,598",,
TOTAL,"3,648,323","4,354,723","3,278,803","3,976,026","3,642,670",,
MOVEMENTS:,,
Industrials,,
Up,329,310,207,243,155,,
Down,167,200,271,223,327,,
Steady,157,148,165,174,144,,
TOTAL,653,658,643,640,626,,
Mining,,
Up,214,217,164,208,164,,
Down,225,239,263,201,246,,
Steady,223,209,210,206,212,,
TOTAL,662,665,637,615,622,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"447,069","521,865","343,526","244,467","212,193",,
Put Options,"303,590","269,781","309,583","173,592","191,839",,
TOTAL,"750,659","791,646","653,109","418,059","404,032",,
Value ($'000s),,
Call Options,"35,080","50,425","23,994","14,132","20,738",,
Put Options,"13,940","11,744","11,295","7,507","7,656",,
TOTAL,"49,020","62,169","35,289","21,639","28,394",,
MOVEMENTS:,,
Call Options,,
Up,626,552,228,393,88,,
Down,119,103,286,188,388,,
Steady,32,30,26,29,12,,
TOTAL,777,685,540,610,488,,
Put Options,,
Up,32,58,209,102,294,,
Down,575,520,247,345,148,,
Steady,11,17,29,28,36,,
TOTAL,618,595,485,475,478,,
,
