National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-01-24T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 19,Jan 20,Jan 21,Jan 22,Jan 23,,
Volume ('000s),,
Industrials,"581,733","615,688","702,936","762,584","737,893",,
Mining,"648,481","504,821","590,281","621,353","634,285",,
TOTAL,"1,230,214","1,120,509","1,293,217","1,383,937","1,372,178",,
Value ($'000s),,
Industrials,"2,725,775","2,831,069","3,297,418","3,355,320","3,327,143",,
Mining,"967,366","841,669","934,541","971,415","776,417",,
TOTAL,"3,693,141","3,672,738","4,231,959","4,326,735","4,103,560",,
MOVEMENTS:,,
Industrials,,
Up,360,263,406,339,423,,
Down,243,311,245,285,219,,
Steady,188,196,161,183,167,,
TOTAL,791,770,812,807,809,,
Mining,,
Up,167,136,178,157,184,,
Down,143,175,168,151,171,,
Steady,168,174,179,189,179,,
TOTAL,478,485,525,497,534,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"158,749","155,390","186,834","202,546","229,585",,
Put Options,"154,745","117,060","182,864","187,321","188,435",,
TOTAL,"313,494","272,450","369,698","389,867","418,020",,
Value ($'000s),,
Call Options,"8,380","20,375","23,358","95,761","16,384",,
Put Options,"9,359","10,267","15,310","14,573","12,613",,
TOTAL,"17,739","30,642","38,668","110,334","28,997",,
MOVEMENTS:,,
Call Options,,
Up,270,129,341,374,512,,
Down,164,246,146,126,98,,
Steady,17,24,15,19,16,,
TOTAL,451,399,502,519,626,,
Put Options,,
Up,115,204,83,89,48,,
Down,281,174,292,361,445,,
Steady,7,15,10,8,4,,
TOTAL,403,393,385,458,497,,
,
