National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-24T23:15:15+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,,
Volume ('000s),,
Industrials,"882,900","1,085,595","891,469","916,613","881,826",,
Mining,"1,365,554","1,138,130","1,126,117","1,307,336","1,348,419",,
TOTAL,"2,248,454","2,223,725","2,017,586","2,223,949","2,230,245",,
Value ($'000s),,
Industrials,"3,204,475","3,155,127","2,565,272","2,796,087","2,717,054",,
Mining,"1,649,145","1,437,938","1,671,310","1,503,361","1,441,045",,
TOTAL,"4,853,620","4,593,065","4,236,582","4,299,448","4,158,099",,
MOVEMENTS:,,
Industrials,,
Up,297,221,232,265,216,,
Down,238,305,277,226,257,,
Steady,161,185,165,199,202,,
TOTAL,696,711,674,690,675,,
Mining,,
Up,289,225,227,271,236,,
Down,275,308,303,308,318,,
Steady,227,251,232,218,220,,
TOTAL,791,784,762,797,774,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"296,444","260,459","221,428","436,637","784,752",,
Put Options,"248,059","281,598","232,977","256,531","229,134",,
TOTAL,"544,503","542,057","454,405","693,168","1,013,886",,
Value ($'000s),,
Call Options,"10,664","10,524","9,441","274,889","175,688",,
Put Options,"15,750","15,305","15,639","31,946","16,627",,
TOTAL,"26,414","25,829","25,080","306,835","192,315",,
MOVEMENTS:,,
Call Options,,
Up,398,178,120,287,218,,
Down,177,362,409,262,363,,
Steady,19,33,21,36,22,,
TOTAL,594,573,550,585,603,,
Put Options,,
Up,126,263,300,145,246,,
Down,432,302,216,371,289,,
Steady,16,40,30,22,29,,
TOTAL,574,605,546,538,564,,
,
