National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-05-11T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 24,Apr 26,Apr 29,Apr 30,May 10,,
Volume ('000s),,
Industrials,"878,616","584,338","498,382","449,424","1,059,086",,
Mining,"834,872","842,868","798,827","576,933","793,677",,
TOTAL,"1,713,488","1,427,206","1,297,209","1,026,357","1,852,763",,
Value ($'000s),,
Industrials,"5,323,532","2,757,034","2,062,163","2,147,178","3,484,986",,
Mining,"1,668,977","1,038,121","653,350","609,468","990,517",,
TOTAL,"6,992,509","3,795,155","2,715,513","2,756,646","4,475,503",,
MOVEMENTS:,,
Industrials,,
Up,369,295,327,311,340,,
Down,164,271,242,221,206,,
Steady,156,131,124,141,152,,
TOTAL,689,697,693,673,698,,
Mining,,
Up,207,246,181,187,240,,
Down,202,183,263,252,204,,
Steady,239,191,208,198,222,,
TOTAL,648,620,652,637,666,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"416,388","323,064","183,927","252,440","372,051",,
Put Options,"265,527","204,063","194,020","247,674","273,742",,
TOTAL,"681,915","527,127","377,947","500,114","645,793",,
Value ($'000s),,
Call Options,"55,825","65,473","44,158","36,623","102,088",,
Put Options,"14,645","8,850","18,964","17,133","13,071",,
TOTAL,"70,470","74,323","63,122","53,756","115,159",,
MOVEMENTS:,,
Call Options,,
Up,625,386,376,415,460,,
Down,178,211,196,146,264,,
Steady,27,27,25,11,24,,
TOTAL,830,624,597,572,748,,
Put Options,,
Up,81,102,108,61,149,,
Down,592,387,374,449,466,,
Steady,11,19,13,6,14,,
TOTAL,684,508,495,516,629,,
,
