National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-02-23T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,,
Volume ('000s),,
Industrials,"1,061,530","793,091","913,912","889,987","894,855",,
Mining,"947,245","1,069,917","842,294","1,118,758","880,212",,
TOTAL,"2,008,775","1,863,008","1,756,206","2,008,745","1,775,067",,
Value ($'000s),,
Industrials,"6,290,370","4,028,966","4,014,637","4,655,488","4,809,646",,
Mining,"1,149,560","1,261,791","1,505,135","2,125,364","2,197,706",,
TOTAL,"7,439,930","5,290,757","5,519,772","6,780,852","7,007,352",,
MOVEMENTS:,,
Industrials,,
Up,356,285,309,152,336,,
Down,246,279,250,416,236,,
Steady,133,150,152,150,144,,
TOTAL,735,714,711,718,716,,
Mining,,
Up,196,216,196,123,261,,
Down,305,277,302,431,204,,
Steady,237,222,201,192,242,,
TOTAL,738,715,699,746,707,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"730,283","632,755","715,113","854,658","337,279",,
Put Options,"433,700","324,717","367,393","650,416","299,064",,
TOTAL,"1,163,983","957,472","1,082,506","1,505,074","636,343",,
Value ($'000s),,
Call Options,"124,163","68,203","142,051","153,631","28,366",,
Put Options,"24,628","18,507","19,799","52,056","15,361",,
TOTAL,"148,791","86,710","161,850","205,687","43,727",,
MOVEMENTS:,,
Call Options,,
Up,752,617,726,412,386,,
Down,243,307,321,846,365,,
Steady,19,23,22,17,23,,
TOTAL,"1,014",947,"1,069","1,275",774,,
Put Options,,
Up,158,153,210,767,319,,
Down,680,577,603,386,455,,
Steady,35,28,31,30,29,,
TOTAL,873,758,844,"1,183",803,,
,
