National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-10-16T23:15:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 11,Oct 12,Oct 13,Oct 14,Oct 15,,
Volume ('000s),,
Industrials,"933,419","953,629","953,335","1,004,053","1,117,508",,
Mining,"1,983,618","1,886,232","1,907,846","1,969,386","1,365,957",,
TOTAL,"2,917,038","2,839,862","2,861,181","2,973,440","2,483,466",,
Value ($'000s),,
Industrials,"2,796,142","3,186,546","3,290,355","3,871,646","3,004,651",,
Mining,"1,922,517","2,054,218","2,048,088","2,196,014","1,630,762",,
TOTAL,"4,718,659","5,240,764","5,338,443","6,067,661","4,635,413",,
MOVEMENTS:,,
Industrials,,
Up,319,196,306,370,275,,
Down,288,403,260,236,292,,
Steady,199,175,200,197,216,,
TOTAL,806,774,766,803,783,,
Mining,,
Up,415,237,330,412,312,,
Down,249,385,271,223,303,,
Steady,180,206,199,183,210,,
TOTAL,844,828,800,818,825,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"35,904","40,701","27,092","51,216","24,562",,
Put Options,"27,806","40,012","29,812","34,005","32,591",,
TOTAL,"63,710","80,713","56,904","85,221","57,153",,
Value ($'000s),,
Call Options,"17,111","23,437","14,163","23,465","11,277",,
Put Options,"8,445","10,924","10,268","11,110","9,701",,
TOTAL,"25,557","34,361","24,432","34,575","20,978",,
MOVEMENTS:,,
Call Options,,
Up,281,52,107,358,157,,
Down,168,407,262,164,207,,
Steady,19,3,24,17,24,,
TOTAL,468,462,393,539,388,,
Put Options,,
Up,99,351,211,72,159,,
Down,282,124,193,334,204,,
Steady,18,14,22,13,20,,
TOTAL,399,489,426,419,383,,
,
