National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-23T23:15:17+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,,
Volume ('000s),,
Industrials,"938,403","639,056","1,041,152","1,074,963","765,038",,
Mining,"812,347","800,652","853,869","881,283","1,024,197",,
TOTAL,"1,750,750","1,439,708","1,895,021","1,956,246","1,789,235",,
Value ($'000s),,
Industrials,"2,982,784","2,109,692","4,159,495","4,736,711","2,400,888",,
Mining,"1,225,927","881,850","1,377,464","1,853,101","1,289,033",,
TOTAL,"4,208,711","2,991,542","5,536,959","6,589,812","3,689,921",,
MOVEMENTS:,,
Industrials,,
Up,376,180,275,189,173,,
Down,177,337,250,319,367,,
Steady,161,194,180,199,175,,
TOTAL,714,711,705,707,715,,
Mining,,
Up,322,208,247,178,117,,
Down,208,313,271,343,391,,
Steady,214,212,239,225,223,,
TOTAL,744,733,757,746,731,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"328,366","293,554","325,093","321,302","312,697",,
Put Options,"315,727","284,009","292,857","254,460","262,075",,
TOTAL,"644,093","577,563","617,950","575,762","574,772",,
Value ($'000s),,
Call Options,"15,478","44,050","13,904","21,853","16,032",,
Put Options,"16,455","22,819","18,601","15,747","18,351",,
TOTAL,"31,933","66,869","32,505","37,600","34,383",,
MOVEMENTS:,,
Call Options,,
Up,458,174,332,81,53,,
Down,194,393,265,507,537,,
Steady,54,30,38,12,14,,
TOTAL,706,597,635,600,604,,
Put Options,,
Up,55,133,86,332,467,,
Down,608,390,534,230,155,,
Steady,7,29,17,23,16,,
TOTAL,670,552,637,585,638,,
,
