National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-07-14T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul  9,Jul 10,Jul 11,Jul 12,Jul 13,,
Volume ('000s),,
Industrials,"474,991","701,677","596,513","615,256","694,019",,
Mining,"653,640","839,621","842,332","729,873","650,183",,
TOTAL,"1,128,631","1,541,298","1,438,845","1,345,129","1,344,202",,
Value ($'000s),,
Industrials,"1,810,064","2,197,740","2,273,849","2,169,248","2,379,779",,
Mining,"1,123,970","1,061,096","971,477","1,511,172","1,091,015",,
TOTAL,"2,934,034","3,258,836","3,245,326","3,680,420","3,470,794",,
MOVEMENTS:,,
Industrials,,
Up,171,210,188,220,270,,
Down,296,265,274,252,209,,
Steady,146,156,144,152,164,,
TOTAL,613,631,606,624,643,,
Mining,,
Up,133,153,157,114,204,,
Down,342,314,260,312,214,,
Steady,176,201,218,204,197,,
TOTAL,651,668,635,630,615,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"242,993","300,838","293,146","304,774","257,410",,
Put Options,"256,174","288,168","297,838","343,956","240,696",,
TOTAL,"499,167","589,006","590,984","648,730","498,106",,
Value ($'000s),,
Call Options,"9,194","12,090","11,241","16,987","16,075",,
Put Options,"15,822","15,458","14,000","20,658","15,590",,
TOTAL,"25,016","27,548","25,241","37,645","31,665",,
MOVEMENTS:,,
Call Options,,
Up,115,100,165,125,263,,
Down,377,440,401,515,320,,
Steady,26,18,17,26,44,,
TOTAL,518,558,583,666,627,,
Put Options,,
Up,314,315,289,427,259,,
Down,188,178,253,183,304,,
Steady,23,39,24,30,17,,
TOTAL,525,532,566,640,580,,
,
