National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-05-21T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 16,May 17,May 18,May 19,May 20,,
Volume ('000s),,
Industrials,"1,051,199","1,199,370","1,126,313","1,148,840","944,092",,
Mining,"1,240,532","1,282,279","1,160,203","1,381,059","1,235,791",,
TOTAL,"2,291,731","2,481,649","2,286,516","2,529,899","2,179,883",,
Value ($'000s),,
Industrials,"2,757,260","2,808,489","2,925,983","3,653,957","2,487,394",,
Mining,"1,659,542","1,765,938","1,673,215","2,316,725","1,874,420",,
TOTAL,"4,416,802","4,574,427","4,599,198","5,970,682","4,361,814",,
MOVEMENTS:,,
Industrials,,
Up,153,263,286,354,262,,
Down,430,302,282,222,290,,
Steady,185,208,191,196,206,,
TOTAL,768,773,759,772,758,,
Mining,,
Up,129,216,286,397,307,,
Down,506,381,329,217,294,,
Steady,196,236,225,224,233,,
TOTAL,831,833,840,838,834,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"258,529","302,187","268,889","371,364","282,475",,
Put Options,"304,981","317,646","298,505","367,118","208,655",,
TOTAL,"563,510","619,833","567,394","738,482","491,130",,
Value ($'000s),,
Call Options,"17,341","22,203","17,993","27,455","13,877",,
Put Options,"27,247","18,612","20,018","16,389","11,103",,
TOTAL,"44,588","40,815","38,011","43,844","24,980",,
MOVEMENTS:,,
Call Options,,
Up,55,213,210,476,144,,
Down,444,269,309,155,328,,
Steady,16,44,23,17,22,,
TOTAL,515,526,542,648,494,,
Put Options,,
Up,508,209,125,61,209,,
Down,113,337,377,509,226,,
Steady,17,19,16,9,36,,
TOTAL,638,565,518,579,471,,
,
