National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-07-13T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul  8,Jul  9,Jul 10,Jul 11,Jul 12,,
Volume ('000s),,
Industrials,"633,709","648,963","684,395","656,173","599,321",,
Mining,"632,071","768,024","832,385","760,793","828,350",,
TOTAL,"1,265,780","1,416,987","1,516,780","1,416,966","1,427,671",,
Value ($'000s),,
Industrials,"2,369,340","3,100,595","3,156,147","2,850,677","2,656,018",,
Mining,"691,714","852,045","874,632","967,507","1,037,188",,
TOTAL,"3,061,054","3,952,640","4,030,779","3,818,184","3,693,206",,
MOVEMENTS:,,
Industrials,,
Up,257,360,296,343,315,,
Down,275,161,219,170,194,,
Steady,118,109,125,133,145,,
TOTAL,650,630,640,646,654,,
Mining,,
Up,167,192,170,266,231,,
Down,202,150,191,123,148,,
Steady,181,155,168,166,194,,
TOTAL,550,497,529,555,573,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"155,354","221,034","253,708","209,490","304,480",,
Put Options,"121,068","178,500","200,454","171,161","215,746",,
TOTAL,"276,422","399,534","454,162","380,651","520,226",,
Value ($'000s),,
Call Options,"26,883","41,846","83,280","12,576","41,601",,
Put Options,"9,483","15,707","12,097","10,199","15,967",,
TOTAL,"36,366","57,553","95,377","22,775","57,568",,
MOVEMENTS:,,
Call Options,,
Up,201,462,484,520,578,,
Down,293,179,163,171,185,,
Steady,11,26,34,29,32,,
TOTAL,505,667,681,720,795,,
Put Options,,
Up,152,70,44,60,43,,
Down,260,416,529,504,573,,
Steady,27,10,9,9,6,,
TOTAL,439,496,582,573,622,,
,
