National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-11-24T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 19,Nov 20,Nov 21,Nov 22,Nov 23,,
Volume ('000s),,
Industrials,"665,973","684,410","700,001","687,011","627,615",,
Mining,"706,138","705,914","671,778","862,509","622,391",,
TOTAL,"1,372,111","1,390,324","1,371,779","1,549,520","1,250,006",,
Value ($'000s),,
Industrials,"2,270,730","2,703,151","2,422,941","2,634,276","1,739,055",,
Mining,"794,205","836,437","740,316","798,136","493,321",,
TOTAL,"3,064,935","3,539,588","3,163,257","3,432,412","2,232,376",,
MOVEMENTS:,,
Industrials,,
Up,280,304,230,323,247,,
Down,200,216,265,194,219,,
Steady,173,152,169,144,185,,
TOTAL,653,672,664,661,651,,
Mining,,
Up,245,261,202,275,236,,
Down,232,218,266,189,236,,
Steady,204,197,216,230,214,,
TOTAL,681,676,684,694,686,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"226,748","241,118","253,243","359,185","216,929",,
Put Options,"302,481","221,139","241,632","307,855","210,466",,
TOTAL,"529,229","462,257","494,875","667,040","427,395",,
Value ($'000s),,
Call Options,"8,137","27,520","9,521","10,882","12,093",,
Put Options,"19,767","10,104","10,785","11,383","10,612",,
TOTAL,"27,904","37,624","20,306","22,265","22,705",,
MOVEMENTS:,,
Call Options,,
Up,196,327,158,400,137,,
Down,313,240,345,209,299,,
Steady,32,27,28,21,30,,
TOTAL,541,594,531,630,466,,
Put Options,,
Up,221,129,179,74,158,,
Down,302,434,270,403,223,,
Steady,43,15,25,11,27,,
TOTAL,566,578,474,488,408,,
,
