National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-17T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,,
Volume ('000s),,
Industrials,"716,713","962,063","982,244","1,217,164","1,712,404",,
Mining,"955,432","1,168,165","1,306,603","1,274,022","1,560,784",,
TOTAL,"1,672,145","2,130,228","2,288,847","2,491,186","3,273,188",,
Value ($'000s),,
Industrials,"2,358,527","3,085,528","3,385,997","3,924,723","5,196,390",,
Mining,"1,312,536","1,383,413","1,656,332","1,983,005","1,893,850",,
TOTAL,"3,671,063","4,468,941","5,042,329","5,907,728","7,090,240",,
MOVEMENTS:,,
Industrials,,
Up,243,360,384,256,290,,
Down,246,161,156,270,257,,
Steady,153,157,174,164,164,,
TOTAL,642,678,714,690,711,,
Mining,,
Up,237,288,321,198,290,,
Down,279,267,262,358,264,,
Steady,222,204,205,220,225,,
TOTAL,738,759,788,776,779,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"218,847","343,473","466,606","245,181","192,898",,
Put Options,"166,190","226,145","245,154","239,099","183,387",,
TOTAL,"385,037","569,618","711,760","484,280","376,285",,
Value ($'000s),,
Call Options,"9,772","22,350","27,156","9,592","18,991",,
Put Options,"13,207","16,316","11,926","20,931","12,488",,
TOTAL,"22,979","38,666","39,082","30,523","31,479",,
MOVEMENTS:,,
Call Options,,
Up,157,349,565,228,215,,
Down,325,202,159,332,250,,
Steady,21,39,33,34,29,,
TOTAL,503,590,757,594,494,,
Put Options,,
Up,141,50,48,195,120,,
Down,231,414,533,321,288,,
Steady,19,12,11,37,25,,
TOTAL,391,476,592,553,433,,
,
