National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-09T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May  4,May  5,May  6,May  7,May  8,,
Volume ('000s),,
Industrials,"803,859","934,523","829,019","840,892","761,469",,
Mining,"609,246","679,034","981,987","838,145","610,617",,
TOTAL,"1,413,105","1,613,557","1,811,006","1,679,037","1,372,086",,
Value ($'000s),,
Industrials,"4,071,148","4,561,617","5,039,951","5,145,929","3,503,998",,
Mining,"923,763","925,986","953,093","938,460","932,577",,
TOTAL,"4,994,911","5,487,603","5,993,044","6,084,389","4,436,575",,
MOVEMENTS:,,
Industrials,,
Up,72,324,187,201,399,,
Down,61,333,504,479,249,,
Steady,49,173,154,159,169,,
TOTAL,182,830,845,839,817,,
Mining,,
Up,54,151,145,117,162,,
Down,76,167,197,197,183,,
Steady,74,216,208,208,192,,
TOTAL,204,534,550,522,537,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"172,580","210,876","292,951","200,413","185,639",,
Put Options,"138,090","188,479","253,754","340,730","126,940",,
TOTAL,"310,670","399,355","546,705","541,143","312,579",,
Value ($'000s),,
Call Options,"32,734","23,158","40,997","13,103","27,559",,
Put Options,"19,448","20,325","27,651","28,228","10,696",,
TOTAL,"52,182","43,483","68,648","41,331","38,255",,
MOVEMENTS:,,
Call Options,,
Up,177,270,96,88,117,,
Down,197,236,463,450,289,,
Steady,10,18,6,17,17,,
TOTAL,384,524,565,555,423,,
Put Options,,
Up,136,160,415,507,218,,
Down,205,262,124,123,205,,
Steady,5,12,13,15,16,,
TOTAL,346,434,552,645,439,,
,
