National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-03-23T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,,
Volume ('000s),,
Industrials,"947,897","874,664","793,653","1,101,780","654,145",,
Mining,"795,980","1,185,982","1,323,131","1,617,299","1,438,367",,
TOTAL,"1,743,877","2,060,646","2,116,784","2,719,079","2,092,512",,
Value ($'000s),,
Industrials,"4,130,196","3,855,458","3,605,187","5,359,129","3,189,582",,
Mining,"1,011,446","1,243,541","1,440,798","1,595,290","843,781",,
TOTAL,"5,141,642","5,098,999","5,045,985","6,954,419","4,033,363",,
MOVEMENTS:,,
Industrials,,
Up,131,272,232,265,222,,
Down,403,276,333,285,314,,
Steady,158,139,126,156,152,,
TOTAL,692,687,691,706,688,,
Mining,,
Up,175,225,177,219,204,,
Down,319,252,299,254,257,,
Steady,214,208,218,209,216,,
TOTAL,708,685,694,682,677,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"286,998","317,814","353,180","262,320","248,619",,
Put Options,"285,277","239,562","399,868","256,260","241,280",,
TOTAL,"572,275","557,376","753,048","518,580","489,899",,
Value ($'000s),,
Call Options,"133,795","200,383","27,623","44,388","19,421",,
Put Options,"22,735","14,444","32,421","24,916","17,651",,
TOTAL,"156,530","214,827","60,044","69,304","37,072",,
MOVEMENTS:,,
Call Options,,
Up,162,176,125,204,190,,
Down,493,514,663,501,424,,
Steady,13,17,19,24,15,,
TOTAL,668,707,807,729,629,,
Put Options,,
Up,561,467,644,344,319,,
Down,180,268,182,438,348,,
Steady,24,34,36,27,31,,
TOTAL,765,769,862,809,698,,
,
