National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-12-22T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 17,Dec 18,Dec 19,Dec 20,Dec 21,,
Volume ('000s),,
Industrials,"585,021","838,602","791,509","1,099,437","1,170,195",,
Mining,"737,774","863,430","871,866","911,741","1,218,809",,
TOTAL,"1,322,795","1,702,032","1,663,375","2,011,178","2,389,004",,
Value ($'000s),,
Industrials,"2,114,680","3,220,009","2,933,850","4,550,076","5,616,834",,
Mining,"1,016,233","1,343,678","1,459,572","1,643,395","2,678,469",,
TOTAL,"3,130,913","4,563,687","4,393,422","6,193,471","8,295,303",,
MOVEMENTS:,,
Industrials,,
Up,262,344,313,290,254,,
Down,248,221,195,219,285,,
Steady,154,139,144,156,145,,
TOTAL,664,704,652,665,684,,
Mining,,
Up,181,230,208,210,175,,
Down,251,235,241,246,284,,
Steady,217,228,240,203,218,,
TOTAL,649,693,689,659,677,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"346,952","847,810","671,934","1,115,655","374,234",,
Put Options,"334,592","343,536","371,620","550,594","353,934",,
TOTAL,"681,544","1,191,346","1,043,554","1,666,249","728,168",,
Value ($'000s),,
Call Options,"35,607","370,740","451,943","343,095","26,888",,
Put Options,"24,397","27,940","40,030","47,817","17,490",,
TOTAL,"60,004","398,680","491,973","390,912","44,378",,
MOVEMENTS:,,
Call Options,,
Up,291,517,595,639,366,,
Down,354,250,324,477,367,,
Steady,8,30,36,46,36,,
TOTAL,653,797,955,"1,162",769,,
Put Options,,
Up,240,139,242,315,296,,
Down,355,584,559,623,436,,
Steady,29,18,31,35,29,,
TOTAL,624,741,832,973,761,,
,
