National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-05-12T23:15:15+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May  7,May  8,May  9,May 10,May 11,,
Volume ('000s),,
Industrials,"976,721","1,005,895","1,043,926","1,167,492","887,264",,
Mining,"1,215,401","878,258","1,200,415","959,574","622,265",,
TOTAL,"2,192,122","1,884,153","2,244,341","2,127,066","1,509,529",,
Value ($'000s),,
Industrials,"3,305,763","3,160,416","3,493,368","3,959,559","2,852,577",,
Mining,"1,671,832","1,452,981","1,948,156","1,594,281","1,287,922",,
TOTAL,"4,977,595","4,613,397","5,441,524","5,553,840","4,140,499",,
MOVEMENTS:,,
Industrials,,
Up,112,294,137,269,241,,
Down,452,228,384,252,241,,
Steady,154,166,168,169,174,,
TOTAL,718,688,689,690,656,,
Mining,,
Up,92,225,93,249,215,,
Down,519,299,505,259,240,,
Steady,176,217,188,239,220,,
TOTAL,787,741,786,747,675,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"383,036","275,429","450,942","343,369","233,573",,
Put Options,"438,192","241,424","491,333","298,458","209,809",,
TOTAL,"821,228","516,853","942,275","641,827","443,382",,
Value ($'000s),,
Call Options,"15,429","10,504","47,297","15,952","11,615",,
Put Options,"29,597","15,199","35,886","19,788","10,021",,
TOTAL,"45,026","25,703","83,183","35,740","21,636",,
MOVEMENTS:,,
Call Options,,
Up,64,124,134,323,200,,
Down,633,384,531,294,297,,
Steady,5,29,19,32,38,,
TOTAL,702,537,684,649,535,,
Put Options,,
Up,661,306,651,298,263,,
Down,83,308,103,352,234,,
Steady,12,29,20,16,26,,
TOTAL,756,643,774,666,523,,
,
