National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-10-26T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,,
Volume ('000s),,
Industrials,"797,063","909,199","1,020,271","899,625","1,051,594",,
Mining,"804,926","874,599","937,592","702,083","892,239",,
TOTAL,"1,601,989","1,783,798","1,957,863","1,601,708","1,943,833",,
Value ($'000s),,
Industrials,"2,427,163","2,829,865","2,986,295","2,929,357","4,194,899",,
Mining,"716,758","1,013,771","1,176,013","832,005","1,184,021",,
TOTAL,"3,143,921","3,843,636","4,162,308","3,761,362","5,378,920",,
MOVEMENTS:,,
Industrials,,
Up,408,349,301,364,319,,
Down,219,241,301,247,269,,
Steady,126,171,135,121,163,,
TOTAL,753,761,737,732,751,,
Mining,,
Up,219,198,255,182,231,,
Down,191,214,203,214,170,,
Steady,204,205,225,208,206,,
TOTAL,614,617,683,604,607,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"307,345","519,855","560,749","679,992","326,996",,
Put Options,"240,164","255,628","340,052","328,182","211,180",,
TOTAL,"547,509","775,483","900,801","1,008,174","538,176",,
Value ($'000s),,
Call Options,"26,949","534,014","352,807","330,379","30,498",,
Put Options,"12,656","14,392","24,372","32,470","8,267",,
TOTAL,"39,605","548,406","377,179","362,849","38,765",,
MOVEMENTS:,,
Call Options,,
Up,480,400,455,437,294,,
Down,164,253,372,428,290,,
Steady,17,22,21,30,32,,
TOTAL,661,675,848,895,616,,
Put Options,,
Up,43,63,200,197,80,,
Down,536,484,515,506,464,,
Steady,6,18,26,29,19,,
TOTAL,585,565,741,732,563,,
,
