National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-12-27T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 18,Dec 19,Dec 22,Dec 23,Dec 24,,
Volume ('000s),,
Industrials,"985,939","1,189,471","782,277","478,241","298,869",,
Mining,"796,965","1,205,969","964,398","471,701","345,085",,
TOTAL,"1,782,904","2,395,440","1,746,675","949,942","643,954",,
Value ($'000s),,
Industrials,"4,847,526","7,444,425","3,152,573","2,382,578","1,347,855",,
Mining,"1,289,086","2,456,910","917,185","706,368","328,320",,
TOTAL,"6,136,612","9,901,335","4,069,758","3,088,946","1,676,175",,
MOVEMENTS:,,
Industrials,,
Up,412,478,478,273,320,,
Down,229,180,173,350,227,,
Steady,155,144,159,162,177,,
TOTAL,796,802,810,785,724,,
Mining,,
Up,198,196,193,128,138,,
Down,127,140,119,202,112,,
Steady,178,173,156,154,151,,
TOTAL,503,509,468,484,401,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"900,932","386,150","309,473","215,053","91,124",,
Put Options,"741,210","249,350","225,824","155,817","95,472",,
TOTAL,"1,642,142","635,500","535,297","370,870","186,596",,
Value ($'000s),,
Call Options,"228,270","18,676","16,086","62,222","5,400",,
Put Options,"127,712","17,276","13,089","9,148","5,044",,
TOTAL,"355,982","35,952","29,175","71,370","10,444",,
MOVEMENTS:,,
Call Options,,
Up,458,559,590,271,106,,
Down,320,170,82,264,193,,
Steady,20,18,11,24,10,,
TOTAL,798,747,683,559,309,,
Put Options,,
Up,269,65,36,178,81,,
Down,630,472,461,281,152,,
Steady,16,6,2,12,13,,
TOTAL,915,543,499,471,246,,
,
