National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-10T23:15:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May  5,May  6,May  7,May  8,May  9,,
Volume ('000s),,
Industrials,"606,060","663,354","778,439","642,298","681,458",,
Mining,"649,658","570,024","650,259","565,623","564,802",,
TOTAL,"1,255,718","1,233,378","1,428,698","1,207,921","1,246,260",,
Value ($'000s),,
Industrials,"2,421,981","2,097,019","3,061,706","3,001,149","2,580,935",,
Mining,"658,575","595,491","820,471","847,587","577,580",,
TOTAL,"3,080,556","2,692,510","3,882,177","3,848,736","3,158,515",,
MOVEMENTS:,,
Industrials,,
Up,299,327,213,324,261,,
Down,304,227,394,237,297,,
Steady,151,186,169,190,173,,
TOTAL,754,740,776,751,731,,
Mining,,
Up,189,168,154,177,192,,
Down,220,200,201,190,190,,
Steady,208,232,226,220,196,,
TOTAL,617,600,581,587,578,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"223,942","217,776","216,428","259,804","131,894",,
Put Options,"182,426","188,863","195,072","169,794","148,296",,
TOTAL,"406,368","406,639","411,500","429,598","280,190",,
Value ($'000s),,
Call Options,"51,864","135,005","17,002","32,287","28,111",,
Put Options,"9,324","7,013","9,024","7,113","5,261",,
TOTAL,"61,188","142,018","26,026","39,400","33,372",,
MOVEMENTS:,,
Call Options,,
Up,189,256,73,263,162,,
Down,240,173,338,200,239,,
Steady,10,22,14,19,9,,
TOTAL,439,451,425,482,410,,
Put Options,,
Up,135,85,309,73,139,,
Down,263,300,121,303,244,,
Steady,16,14,27,12,22,,
TOTAL,414,399,457,388,405,,
,
