National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-04-28T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 20,Apr 23,Apr 24,Apr 26,Apr 27,,
Volume ('000s),,
Industrials,"735,121","599,881","904,111","964,772","944,067",,
Mining,"1,276,300","1,542,054","1,114,484","1,188,115","1,088,037",,
TOTAL,"2,011,421","2,141,935","2,018,595","2,152,887","2,032,104",,
Value ($'000s),,
Industrials,"2,303,031","1,857,751","3,108,147","3,105,110","3,737,284",,
Mining,"1,184,882","855,454","1,557,872","1,459,892","1,710,534",,
TOTAL,"3,487,913","2,713,205","4,666,019","4,565,002","5,447,818",,
MOVEMENTS:,,
Industrials,,
Up,225,236,238,278,273,,
Down,281,283,276,254,269,,
Steady,183,173,185,204,212,,
TOTAL,689,692,699,736,754,,
Mining,,
Up,256,218,168,234,261,,
Down,267,307,385,309,276,,
Steady,234,236,217,271,274,,
TOTAL,757,761,770,814,811,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"296,527","327,250","576,825","1,037,756","412,362",,
Put Options,"278,551","273,943","370,516","537,246","313,942",,
TOTAL,"575,078","601,193","947,341","1,575,002","726,304",,
Value ($'000s),,
Call Options,"10,654","95,496","30,537","66,283","15,934",,
Put Options,"15,572","17,829","38,287","57,096","15,217",,
TOTAL,"26,226","113,325","68,824","123,379","31,151",,
MOVEMENTS:,,
Call Options,,
Up,176,168,278,498,235,,
Down,335,295,369,365,440,,
Steady,31,25,26,26,28,,
TOTAL,542,488,673,889,703,,
Put Options,,
Up,170,132,295,208,217,,
Down,303,297,361,527,336,,
Steady,40,25,37,17,35,,
TOTAL,513,454,693,752,588,,
,
