National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-03-16T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,,
Volume ('000s),,
Industrials,"641,098","733,203","805,341","910,424","1,369,369",,
Mining,"1,019,175","970,597","866,026","1,049,182","1,773,522",,
TOTAL,"1,660,273","1,703,800","1,671,367","1,959,606","3,142,891",,
Value ($'000s),,
Industrials,"3,021,658","3,323,725","3,676,174","3,905,491","5,593,665",,
Mining,"995,605","1,041,480","1,348,639","1,369,549","1,821,802",,
TOTAL,"4,017,263","4,365,205","5,024,813","5,275,040","7,415,467",,
MOVEMENTS:,,
Industrials,,
Up,320,215,191,201,366,,
Down,220,322,348,364,198,,
Steady,151,161,165,148,154,,
TOTAL,691,698,704,713,718,,
Mining,,
Up,232,178,222,186,264,,
Down,229,334,257,314,211,,
Steady,227,203,206,200,220,,
TOTAL,688,715,685,700,695,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"160,193","239,009","239,563","267,674","194,325",,
Put Options,"151,893","204,191","235,486","278,496","201,587",,
TOTAL,"312,086","443,200","475,049","546,170","395,912",,
Value ($'000s),,
Call Options,"81,940","105,281","19,966","19,483","43,159",,
Put Options,"9,787","10,790","11,506","16,301","11,340",,
TOTAL,"91,727","116,071","31,472","35,784","54,499",,
MOVEMENTS:,,
Call Options,,
Up,343,292,200,127,346,,
Down,229,303,395,505,244,,
Steady,22,22,11,14,22,,
TOTAL,594,617,606,646,612,,
Put Options,,
Up,109,176,321,491,175,,
Down,392,356,248,199,378,,
Steady,14,36,21,36,20,,
TOTAL,515,568,590,726,573,,
,
