National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-22T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 17,Jan 18,Jan 19,Jan 20,Jan 21,,
Volume ('000s),,
Industrials,"886,232","1,032,401","1,257,434","1,195,194","1,189,692",,
Mining,"1,587,479","1,811,924","1,861,370","1,909,311","1,758,593",,
TOTAL,"2,473,711","2,844,325","3,118,804","3,104,505","2,948,285",,
Value ($'000s),,
Industrials,"2,508,044","2,446,188","2,984,558","2,750,490","2,976,585",,
Mining,"1,663,684","1,565,806","1,776,764","3,128,975","2,295,320",,
TOTAL,"4,171,728","4,011,994","4,761,322","5,879,465","5,271,905",,
MOVEMENTS:,,
Industrials,,
Up,281,315,361,233,248,,
Down,306,265,240,368,327,,
Steady,204,187,195,179,199,,
TOTAL,791,767,796,780,774,,
Mining,,
Up,299,345,437,252,181,,
Down,385,330,268,448,485,,
Steady,203,210,208,191,218,,
TOTAL,887,885,913,891,884,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"27,635","32,794","39,451","29,862","35,071",,
Put Options,"27,731","32,353","36,934","44,451","42,000",,
TOTAL,"55,366","65,147","76,385","74,313","77,071",,
Value ($'000s),,
Call Options,"5,611,403","36,245","26,270","21,330","23,809",,
Put Options,"10,017","11,258","13,447","13,652","19,378",,
TOTAL,"5,621,420","47,503","39,717","34,982","43,187",,
MOVEMENTS:,,
Call Options,,
Up,148,295,368,102,92,,
Down,299,191,141,366,359,,
Steady,11,13,20,14,14,,
TOTAL,458,499,529,482,465,,
Put Options,,
Up,201,92,71,286,356,,
Down,215,381,386,194,163,,
Steady,22,17,19,19,17,,
TOTAL,438,490,476,499,536,,
,
