National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-08T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar  3,Mar  4,Mar  5,Mar  6,Mar  7,,
Volume ('000s),,
Industrials,"855,101","859,197","992,850","928,660","973,700",,
Mining,"812,443","769,876","1,511,392","787,957","836,308",,
TOTAL,"1,667,544","1,629,073","2,504,242","1,716,617","1,810,008",,
Value ($'000s),,
Industrials,"3,032,896","3,115,083","4,265,187","3,463,404","3,114,785",,
Mining,"1,280,692","916,574","1,209,229","939,481","808,292",,
TOTAL,"4,313,588","4,031,657","5,474,416","4,402,885","3,923,077",,
MOVEMENTS:,,
Industrials,,
Up,285,307,395,321,377,,
Down,334,297,207,300,256,,
Steady,161,162,156,146,151,,
TOTAL,780,766,758,767,784,,
Mining,,
Up,218,185,227,199,193,,
Down,192,199,174,202,213,,
Steady,194,192,235,208,233,,
TOTAL,604,576,636,609,639,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"237,409","253,815","242,880","217,095","203,773",,
Put Options,"238,893","185,235","187,594","209,158","171,983",,
TOTAL,"476,302","439,050","430,474","426,253","375,756",,
Value ($'000s),,
Call Options,"19,068","76,475","11,277","112,930","80,480",,
Put Options,"12,480","10,642","10,453","17,099","11,390",,
TOTAL,"31,548","87,117","21,730","130,029","91,870",,
MOVEMENTS:,,
Call Options,,
Up,170,280,397,231,356,,
Down,360,228,192,236,159,,
Steady,12,27,12,27,17,,
TOTAL,542,535,601,494,532,,
Put Options,,
Up,383,130,86,110,44,,
Down,215,298,419,320,432,,
Steady,16,18,14,24,13,,
TOTAL,614,446,519,454,489,,
,
