National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-10T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug  5,Aug  6,Aug  7,Aug  8,Aug  9,,
Volume ('000s),,
Industrials,"504,095","656,567","765,154","783,053","632,053",,
Mining,"752,036","773,082","691,671","671,428","752,816",,
TOTAL,"1,256,131","1,429,649","1,456,825","1,454,481","1,384,869",,
Value ($'000s),,
Industrials,"1,851,852","2,913,070","3,606,232","3,116,807","2,680,227",,
Mining,"548,913","791,716","907,463","812,175","896,260",,
TOTAL,"2,400,765","3,704,786","4,513,695","3,928,982","3,576,487",,
MOVEMENTS:,,
Industrials,,
Up,296,247,164,319,237,,
Down,242,271,383,199,299,,
Steady,155,158,137,145,147,,
TOTAL,693,676,684,663,683,,
Mining,,
Up,173,169,117,202,220,,
Down,229,236,296,158,199,,
Steady,199,187,184,186,190,,
TOTAL,601,592,597,546,609,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"108,528","149,342","239,639","337,220","203,129",,
Put Options,"82,027","188,223","237,576","172,607","176,012",,
TOTAL,"190,555","337,565","477,215","509,827","379,141",,
Value ($'000s),,
Call Options,"15,861","12,546","24,426","21,169","11,403",,
Put Options,"3,742","8,425","13,478","10,513","10,374",,
TOTAL,"19,603","20,971","37,904","31,682","21,777",,
MOVEMENTS:,,
Call Options,,
Up,243,202,87,256,228,,
Down,204,312,472,292,243,,
Steady,21,19,3,27,16,,
TOTAL,468,533,562,575,487,,
Put Options,,
Up,50,134,441,162,187,,
Down,339,324,189,307,315,,
Steady,13,25,15,20,23,,
TOTAL,402,483,645,489,525,,
,
