National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-07-06T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul  1,Jul  2,Jul  3,Jul  4,Jul  5,,
Volume ('000s),,
Industrials,"533,946","674,283","711,626","487,854","676,317",,
Mining,"537,687","672,816","722,626","812,508","731,325",,
TOTAL,"1,071,633","1,347,099","1,434,252","1,300,362","1,407,642",,
Value ($'000s),,
Industrials,"3,010,267","3,431,764","3,232,103","1,994,093","2,303,500",,
Mining,"741,450","917,237","1,010,335","734,170","597,146",,
TOTAL,"3,751,717","4,349,001","4,242,438","2,728,263","2,900,646",,
MOVEMENTS:,,
Industrials,,
Up,176,414,219,382,369,,
Down,308,123,304,148,178,,
Steady,108,128,136,126,128,,
TOTAL,592,665,659,656,675,,
Mining,,
Up,199,288,178,257,238,,
Down,144,112,200,124,153,,
Steady,148,174,176,169,200,,
TOTAL,491,574,554,550,591,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"185,299","223,083","161,034","205,121","186,450",,
Put Options,"188,974","122,512","127,500","129,418","118,485",,
TOTAL,"374,273","345,595","288,534","334,539","304,935",,
Value ($'000s),,
Call Options,"63,077","39,540","94,802","156,168","11,932",,
Put Options,"17,622","15,984","10,263","8,462","7,280",,
TOTAL,"80,699","55,524","105,065","164,630","19,212",,
MOVEMENTS:,,
Call Options,,
Up,48,480,139,346,442,,
Down,232,219,407,197,142,,
Steady,4,25,24,19,17,,
TOTAL,284,724,570,562,601,,
Put Options,,
Up,196,111,321,117,77,,
Down,115,390,186,320,366,,
Steady,8,14,25,8,6,,
TOTAL,319,515,532,445,449,,
,
