National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-07-25T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 20,Jul 21,Jul 22,Jul 23,Jul 24,,
Volume ('000s),,
Industrials,"713,714","845,506","784,213","711,619","638,107",,
Mining,"631,531","770,339","726,364","714,713","759,067",,
TOTAL,"1,345,245","1,615,845","1,510,577","1,426,332","1,397,174",,
Value ($'000s),,
Industrials,"2,473,754","2,970,607","3,700,281","3,009,366","3,167,931",,
Mining,"577,070","655,875","764,603","795,118","745,221",,
TOTAL,"3,050,824","3,626,482","4,464,884","3,804,484","3,913,152",,
MOVEMENTS:,,
Industrials,,
Up,423,429,255,344,279,,
Down,264,273,428,320,375,,
Steady,175,163,162,192,199,,
TOTAL,862,865,845,856,853,,
Mining,,
Up,168,136,155,127,130,,
Down,198,210,187,178,190,,
Steady,154,178,182,186,179,,
TOTAL,520,524,524,491,499,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"167,261","202,135","172,325","166,984","158,969",,
Put Options,"106,328","128,785","128,525","149,635","138,154",,
TOTAL,"273,589","330,920","300,850","316,619","297,123",,
Value ($'000s),,
Call Options,"28,481","14,724","12,650","45,205","73,615",,
Put Options,"5,419","5,645","7,318","13,809","11,328",,
TOTAL,"33,900","20,369","19,968","59,014","84,943",,
MOVEMENTS:,,
Call Options,,
Up,185,289,63,84,55,,
Down,205,183,321,318,354,,
Steady,17,11,6,13,10,,
TOTAL,407,483,390,415,419,,
Put Options,,
Up,80,85,223,259,276,,
Down,260,321,163,119,109,,
Steady,11,7,23,16,11,,
TOTAL,351,413,409,394,396,,
,
