National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-15T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,,
Volume ('000s),,
Industrials,"783,678","718,074","643,417","635,052","528,977",,
Mining,"780,269","716,858","692,556","622,140","587,060",,
TOTAL,"1,563,947","1,434,932","1,335,973","1,257,192","1,116,037",,
Value ($'000s),,
Industrials,"3,316,913","3,334,557","3,043,092","3,133,397","2,497,096",,
Mining,"841,813","872,455","916,537","759,084","709,937",,
TOTAL,"4,158,726","4,207,012","3,959,629","3,892,481","3,207,033",,
MOVEMENTS:,,
Industrials,,
Up,292,321,211,266,337,,
Down,331,276,424,341,277,,
Steady,188,206,180,189,194,,
TOTAL,811,803,815,796,808,,
Mining,,
Up,193,134,150,156,155,,
Down,166,210,209,192,202,,
Steady,217,220,218,191,194,,
TOTAL,576,564,577,539,551,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"199,581","172,843","172,320","158,218","150,464",,
Put Options,"200,785","231,694","261,394","172,758","126,726",,
TOTAL,"400,366","404,537","433,714","330,976","277,190",,
Value ($'000s),,
Call Options,"14,189","39,651","25,146","9,775","19,722",,
Put Options,"7,434","9,452","12,662","7,059","7,476",,
TOTAL,"21,623","49,103","37,808","16,834","27,198",,
MOVEMENTS:,,
Call Options,,
Up,279,194,62,103,112,,
Down,235,256,314,297,247,,
Steady,18,16,15,11,22,,
TOTAL,532,466,391,411,381,,
Put Options,,
Up,132,155,324,254,152,,
Down,331,254,143,112,210,,
Steady,20,26,21,23,23,,
TOTAL,483,435,488,389,385,,
,
