National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-12-18T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 13,Dec 14,Dec 15,Dec 16,Dec 17,,
Volume ('000s),,
Industrials,"1,205,311","1,198,766","1,132,872","1,270,000","1,243,145",,
Mining,"1,676,137","1,614,978","1,696,807","1,571,788","1,464,316",,
TOTAL,"2,881,448","2,813,744","2,829,679","2,841,788","2,707,461",,
Value ($'000s),,
Industrials,"3,270,453","3,162,836","4,107,143","3,958,320","3,433,677",,
Mining,"1,457,733","1,655,961","2,126,107","2,081,901","1,802,321",,
TOTAL,"4,728,186","4,818,797","6,233,250","6,040,221","5,235,998",,
MOVEMENTS:,,
Industrials,,
Up,312,314,298,324,309,,
Down,265,282,268,237,260,,
Steady,216,189,191,196,204,,
TOTAL,793,785,757,757,773,,
Mining,,
Up,294,304,297,305,303,,
Down,345,330,312,318,305,,
Steady,204,207,220,212,225,,
TOTAL,843,841,829,835,833,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"33,234","37,869","44,418","66,426","30,186",,
Put Options,"27,684","29,435","36,908","43,848","36,062",,
TOTAL,"60,918","67,304","81,326","110,274","66,248",,
Value ($'000s),,
Call Options,"22,885","16,595","19,985","218,063","15,163",,
Put Options,"12,227","9,923","12,912","11,458","10,365",,
TOTAL,"35,112","26,518","32,897","229,521","25,528",,
MOVEMENTS:,,
Call Options,,
Up,330,275,257,228,167,,
Down,152,229,215,251,288,,
Steady,26,21,30,19,25,,
TOTAL,508,525,502,498,480,,
Put Options,,
Up,49,134,140,132,181,,
Down,408,325,327,325,246,,
Steady,10,21,17,22,31,,
TOTAL,467,480,484,479,458,,
,
