National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-23T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 18,Nov 19,Nov 20,Nov 21,Nov 22,,
Volume ('000s),,
Industrials,"889,559","997,164","845,746","940,693","828,913",,
Mining,"529,377","547,887","626,175","665,260","692,882",,
TOTAL,"1,418,936","1,545,051","1,471,921","1,605,953","1,521,795",,
Value ($'000s),,
Industrials,"2,366,591","2,919,942","3,092,744","3,358,939","2,794,895",,
Mining,"601,510","618,219","659,492","693,317","686,627",,
TOTAL,"2,968,101","3,538,161","3,752,236","4,052,256","3,481,522",,
MOVEMENTS:,,
Industrials,,
Up,230,211,204,223,397,,
Down,381,396,388,343,184,,
Steady,154,139,152,172,156,,
TOTAL,765,746,744,738,737,,
Mining,,
Up,182,164,177,148,208,,
Down,235,262,206,244,207,,
Steady,210,199,206,202,203,,
TOTAL,627,625,589,594,618,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"210,612","191,222","246,607","218,810","215,308",,
Put Options,"221,795","180,520","274,901","246,667","166,006",,
TOTAL,"432,407","371,742","521,508","465,477","381,314",,
Value ($'000s),,
Call Options,"15,746","12,266","13,352","14,264","15,956",,
Put Options,"17,649","12,292","16,466","16,072","8,616",,
TOTAL,"33,395","24,558","29,818","30,336","24,572",,
MOVEMENTS:,,
Call Options,,
Up,211,83,44,96,290,,
Down,270,316,479,374,213,,
Steady,19,11,5,12,16,,
TOTAL,500,410,528,482,519,,
Put Options,,
Up,181,245,413,350,129,,
Down,305,210,167,203,338,,
Steady,26,35,38,34,20,,
TOTAL,512,490,618,587,487,,
,
